"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W41","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over",":"
"2020W99","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad","Number","Total","90 years or over",":"
"2020W28","Vlaams Gewest","Number","Total","90 years or over","212"
"2020W29","Vlaams Gewest","Number","Total","90 years or over","256"
"2020W30","Vlaams Gewest","Number","Total","90 years or over","243"
"2020W31","Vlaams Gewest","Number","Total","90 years or over","290"
"2020W32","Vlaams Gewest","Number","Total","90 years or over","270"
"2020W33","Vlaams Gewest","Number","Total","90 years or over","436"
"2020W34","Vlaams Gewest","Number","Total","90 years or over","278"
"2020W35","Vlaams Gewest","Number","Total","90 years or over","244"
"2020W36","Vlaams Gewest","Number","Total","90 years or over","247"
"2020W37","Vlaams Gewest","Number","Total","90 years or over","248"
"2020W38","Vlaams Gewest","Number","Total","90 years or over","273"
"2020W39","Vlaams Gewest","Number","Total","90 years or over","238"
"2020W40","Vlaams Gewest","Number","Total","90 years or over",":"
"2020W41","Vlaams Gewest","Number","Total","90 years or over",":"
"2020W99","Vlaams Gewest","Number","Total","90 years or over",":"
"2020W28","Prov. Antwerpen","Number","Total","90 years or over","60"
"2020W29","Prov. Antwerpen","Number","Total","90 years or over","78"
"2020W30","Prov. Antwerpen","Number","Total","90 years or over","60"
"2020W31","Prov. Antwerpen","Number","Total","90 years or over","89"
"2020W32","Prov. Antwerpen","Number","Total","90 years or over","72"
"2020W33","Prov. Antwerpen","Number","Total","90 years or over","126"
"2020W34","Prov. Antwerpen","Number","Total","90 years or over","99"
"2020W35","Prov. Antwerpen","Number","Total","90 years or over","72"
"2020W36","Prov. Antwerpen","Number","Total","90 years or over","66"
"2020W37","Prov. Antwerpen","Number","Total","90 years or over","72"
"2020W38","Prov. Antwerpen","Number","Total","90 years or over","86"
"2020W39","Prov. Antwerpen","Number","Total","90 years or over","57"
"2020W40","Prov. Antwerpen","Number","Total","90 years or over",":"
"2020W41","Prov. Antwerpen","Number","Total","90 years or over",":"
"2020W99","Prov. Antwerpen","Number","Total","90 years or over",":"
"2020W28","Arr. Antwerpen","Number","Total","90 years or over","34"
"2020W29","Arr. Antwerpen","Number","Total","90 years or over","47"
"2020W30","Arr. Antwerpen","Number","Total","90 years or over","34"
"2020W31","Arr. Antwerpen","Number","Total","90 years or over","53"
"2020W32","Arr. Antwerpen","Number","Total","90 years or over","46"
"2020W33","Arr. Antwerpen","Number","Total","90 years or over","92"
"2020W34","Arr. Antwerpen","Number","Total","90 years or over","56"
"2020W35","Arr. Antwerpen","Number","Total","90 years or over","38"
"2020W36","Arr. Antwerpen","Number","Total","90 years or over","38"
"2020W37","Arr. Antwerpen","Number","Total","90 years or over","45"
"2020W38","Arr. Antwerpen","Number","Total","90 years or over","57"
"2020W39","Arr. Antwerpen","Number","Total","90 years or over","32"
"2020W40","Arr. Antwerpen","Number","Total","90 years or over",":"
"2020W41","Arr. Antwerpen","Number","Total","90 years or over",":"
"2020W99","Arr. Antwerpen","Number","Total","90 years or over",":"
"2020W28","Arr. Mechelen","Number","Total","90 years or over","14"
"2020W29","Arr. Mechelen","Number","Total","90 years or over","12"
"2020W30","Arr. Mechelen","Number","Total","90 years or over","10"
"2020W31","Arr. Mechelen","Number","Total","90 years or over","19"
"2020W32","Arr. Mechelen","Number","Total","90 years or over","14"
"2020W33","Arr. Mechelen","Number","Total","90 years or over","18"
"2020W34","Arr. Mechelen","Number","Total","90 years or over","23"
"2020W35","Arr. Mechelen","Number","Total","90 years or over","23"
"2020W36","Arr. Mechelen","Number","Total","90 years or over","14"
"2020W37","Arr. Mechelen","Number","Total","90 years or over","15"
"2020W38","Arr. Mechelen","Number","Total","90 years or over","14"
"2020W39","Arr. Mechelen","Number","Total","90 years or over","9"
"2020W40","Arr. Mechelen","Number","Total","90 years or over",":"
"2020W41","Arr. Mechelen","Number","Total","90 years or over",":"
"2020W99","Arr. Mechelen","Number","Total","90 years or over",":"
"2020W28","Arr. Turnhout","Number","Total","90 years or over","12"
"2020W29","Arr. Turnhout","Number","Total","90 years or over","19"
"2020W30","Arr. Turnhout","Number","Total","90 years or over","16"
"2020W31","Arr. Turnhout","Number","Total","90 years or over","17"
"2020W32","Arr. Turnhout","Number","Total","90 years or over","12"
"2020W33","Arr. Turnhout","Number","Total","90 years or over","16"
"2020W34","Arr. Turnhout","Number","Total","90 years or over","20"
"2020W35","Arr. Turnhout","Number","Total","90 years or over","11"
"2020W36","Arr. Turnhout","Number","Total","90 years or over","14"
"2020W37","Arr. Turnhout","Number","Total","90 years or over","12"
"2020W38","Arr. Turnhout","Number","Total","90 years or over","15"
"2020W39","Arr. Turnhout","Number","Total","90 years or over","16"
"2020W40","Arr. Turnhout","Number","Total","90 years or over",":"
"2020W41","Arr. Turnhout","Number","Total","90 years or over",":"
"2020W99","Arr. Turnhout","Number","Total","90 years or over",":"
"2020W28","Prov. Limburg (BE)","Number","Total","90 years or over","19"
"2020W29","Prov. Limburg (BE)","Number","Total","90 years or over","20"
"2020W30","Prov. Limburg (BE)","Number","Total","90 years or over","29"
"2020W31","Prov. Limburg (BE)","Number","Total","90 years or over","23"
"2020W32","Prov. Limburg (BE)","Number","Total","90 years or over","28"
"2020W33","Prov. Limburg (BE)","Number","Total","90 years or over","32"
"2020W34","Prov. Limburg (BE)","Number","Total","90 years or over","25"
"2020W35","Prov. Limburg (BE)","Number","Total","90 years or over","24"
"2020W36","Prov. Limburg (BE)","Number","Total","90 years or over","26"
"2020W37","Prov. Limburg (BE)","Number","Total","90 years or over","30"
"2020W38","Prov. Limburg (BE)","Number","Total","90 years or over","26"
"2020W39","Prov. Limburg (BE)","Number","Total","90 years or over","30"
"2020W40","Prov. Limburg (BE)","Number","Total","90 years or over",":"
"2020W41","Prov. Limburg (BE)","Number","Total","90 years or over",":"
"2020W99","Prov. Limburg (BE)","Number","Total","90 years or over",":"
"2020W28","Arr. Hasselt","Number","Total","90 years or over","10"
"2020W29","Arr. Hasselt","Number","Total","90 years or over","9"
"2020W30","Arr. Hasselt","Number","Total","90 years or over","12"
"2020W31","Arr. Hasselt","Number","Total","90 years or over","11"
"2020W32","Arr. Hasselt","Number","Total","90 years or over","13"
"2020W33","Arr. Hasselt","Number","Total","90 years or over","16"
"2020W34","Arr. Hasselt","Number","Total","90 years or over","14"
"2020W35","Arr. Hasselt","Number","Total","90 years or over","12"
"2020W36","Arr. Hasselt","Number","Total","90 years or over","17"
"2020W37","Arr. Hasselt","Number","Total","90 years or over","14"
"2020W38","Arr. Hasselt","Number","Total","90 years or over","16"
"2020W39","Arr. Hasselt","Number","Total","90 years or over","15"
"2020W40","Arr. Hasselt","Number","Total","90 years or over",":"
"2020W41","Arr. Hasselt","Number","Total","90 years or over",":"
"2020W99","Arr. Hasselt","Number","Total","90 years or over",":"
"2020W28","Arr. Maaseik","Number","Total","90 years or over","3"
"2020W29","Arr. Maaseik","Number","Total","90 years or over","7"
"2020W30","Arr. Maaseik","Number","Total","90 years or over","11"
"2020W31","Arr. Maaseik","Number","Total","90 years or over","5"
"2020W32","Arr. Maaseik","Number","Total","90 years or over","6"
"2020W33","Arr. Maaseik","Number","Total","90 years or over","11"
"2020W34","Arr. Maaseik","Number","Total","90 years or over","6"
"2020W35","Arr. Maaseik","Number","Total","90 years or over","5"
"2020W36","Arr. Maaseik","Number","Total","90 years or over","4"
"2020W37","Arr. Maaseik","Number","Total","90 years or over","8"
"2020W38","Arr. Maaseik","Number","Total","90 years or over","4"
"2020W39","Arr. Maaseik","Number","Total","90 years or over","10"
"2020W40","Arr. Maaseik","Number","Total","90 years or over",":"
"2020W41","Arr. Maaseik","Number","Total","90 years or over",":"
"2020W99","Arr. Maaseik","Number","Total","90 years or over",":"
"2020W28","Arr. Tongeren","Number","Total","90 years or over","6"
"2020W29","Arr. Tongeren","Number","Total","90 years or over","4"
"2020W30","Arr. Tongeren","Number","Total","90 years or over","6"
"2020W31","Arr. Tongeren","Number","Total","90 years or over","7"
"2020W32","Arr. Tongeren","Number","Total","90 years or over","9"
"2020W33","Arr. Tongeren","Number","Total","90 years or over","5"
