"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
65,18471,46,11,14,24,95,25,0,0.00510999946210532,44,18,0.40899795501022496,1
66,18465,51,9,16,25,101,25,0,0.005432736270238287,47,21,0.4467134652201659,1
67,18459,51,9,17,25,102,30,0,0.005486525738260448,51,22,0.4312879827484807,1
68,18451,57,8,19,26,110,30,0,0.005916841482437739,57,24,0.42097877565339414,1
69,18441,64,10,18,26,118,32,0,0.006347157226615029,62,26,0.41928721174004197,1
70,18433,68,10,18,29,125,33,0,0.006723683502770157,68,26,0.3822967210704308,1
71,18427,70,9,20,31,130,34,0,0.0069926308428809635,76,28,0.36837258255492694,1
72,18420,71,11,19,34,135,36,0,0.0072615781829917705,83,28,0.3373087579809661,1
73,18409,79,11,19,35,144,38,0,0.0077456833951912215,91,30,0.32963410614218214,1
74,18399,84,11,17,38,150,42,0,0.008068420203324189,96,32,0.3332986147276325,1
75,18389,83,15,16,40,154,48,0,0.008283578075412834,103,32,0.31064945150956214,1
76,18374,90,14,19,45,168,49,0,0.009036630627723093,111,33,0.29727051616971445,1
77,18364,99,11,22,46,178,49,0,0.009574525307944705,120,36,0.29997500208315975,1
78,18357,102,14,22,43,181,53,0,0.009735893712011189,127,37,0.29131564443744584,1
79,18348,104,13,22,47,186,57,0,0.010004841052121995,135,41,0.30368120879934823,1
80,18340,105,15,24,49,193,58,0,0.010381367328277123,142,40,0.2816703049081051,1
81,18327,108,20,24,53,205,59,0,0.011026840944543058,149,41,0.2751493188376619,1
82,18317,108,22,25,57,212,62,0,0.011403367220698186,155,41,0.2644990645764789,1
83,18300,114,21,30,61,226,65,0,0.012156419773008445,162,42,0.25924325658909947,1
84,18281,129,21,31,58,239,71,0,0.012855682857296541,169,45,0.2662564345305012,1
85,18275,129,20,32,58,239,77,0,0.012855682857296541,178,48,0.26964777259704514,1
86,18260,131,19,40,63,253,78,0,0.013608735409606798,189,50,0.26453626792233215,1
87,18240,140,20,45,66,271,80,0,0.014576945834005702,198,56,0.282813999292965,1
88,18224,151,20,44,65,280,87,0,0.015061051046205153,206,57,0.27668559778651525,1
89,18209,154,19,49,71,293,89,0,0.01576031413049325,214,59,0.2756880519601888,1
90,18199,152,21,50,76,299,93,0,0.016083050938626216,224,65,0.2901656176063569,1
91,18187,152,23,50,80,305,99,0,0.016405787746759184,233,66,0.2832496459379426,1
92,18169,162,24,49,83,318,104,0,0.01710505083104728,244,64,0.2622843326093193,1
93,18161,159,26,48,82,315,115,0,0.016943682426980796,254,65,0.2558954371875123,1
94,18144,167,27,50,85,329,118,0,0.017696734979291053,264,64,0.24241506003560473,1
95,18133,170,23,55,90,338,120,0,0.018180840191490508,273,66,0.24174938646936012,1
96,18111,179,25,57,92,353,127,0,0.018987682211822926,286,72,0.251739449669592,1
97,18097,183,22,58,96,359,135,0,0.019310419019955893,299,75,0.2508277315139962,1
98,18080,192,23,55,97,367,144,0,0.019740734764133183,310,80,0.25805619173575045,1
99,18058,201,26,54,101,382,151,0,0.0205475767844656,320,82,0.2562419924377363,1
100,18039,205,30,53,104,392,160,0,0.021085471464687214,333,86,0.25825050298789826,1
101,18021,208,32,54,106,400,170,0,0.021515787208864504,342,81,0.2368351802578872,1
102,18008,201,31,59,113,404,179,0,0.02173094508095315,351,79,0.2250648129682915,1
103,17990,206,30,61,118,415,186,0,0.022322629229196922,358,84,0.23463031758889416,1
104,17970,210,32,63,122,427,194,0,0.02296810284546286,364,86,0.23625724568006373,1
105,17955,208,35,62,126,431,205,0,0.023183260717551505,370,88,0.23783140996189292,1
106,17939,201,42,55,134,432,220,0,0.023237050185573666,383,92,0.240202605676092,1
107,17921,197,54,53,131,435,235,0,0.02339841858964015,391,91,0.23273062070023784,1
108,17902,201,50,58,137,446,243,0,0.023990102737883923,403,97,0.2406888166546736,1
109,17890,194,60,55,139,448,253,0,0.024097681673928246,410,99,0.24145752542620913,1
110,17870,193,66,61,142,462,259,0,0.024850734226238503,416,97,0.23316747193577078,1
111,17853,198,61,69,141,469,269,0,0.02522726050239363,423,94,0.22221696886598427,1
112,17835,195,60,73,147,475,281,0,0.0255499973105266,427,95,0.22247722535771997,1
113,17815,199,58,78,152,487,289,0,0.026195470926792534,435,98,0.2252821774212087,1
114,17785,215,54,84,152,505,301,0,0.027163681351191436,442,97,0.2194520485961856,1
115,17766,216,57,89,156,518,307,0,0.02786294443547953,450,103,0.22888380258216484,1
