1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
80823,5630,13786,23409,7413,13191,4541,6766,8127,26033,7252,34423,23297,7015,132018,45360,51453,19738,13237,15607,27032,22765,38455,33273,6512,34753,29543,35034,7155,17034,4803,7361,10957,18280,21679,28352,38961,10464,13964,14759,12817,16666,11508,6959,5775,12850,10468,36016,10918,15676,11974,9480,6867,23485,6936,10814,4901,167088,23260,18026,40311,9933,136873,14731,43587,10562,11219,11912,13484,7152,23928,48054,20691,13500,27263,12218,7055,26978,14062,22613,16357,53849,22665,16279,10042,5780,49337,14031,15784,15843,6638,13318,11852,2896,4351,5067,12851,9505,12536,10249,7400,6070,4681,35352,6074,15350,9766
95842,6526,16163,26457,8708,15736,5573,7893,10094,31310,8312,40889,27321,7922,148609,54332,60412,22506,15569,18709,27797,26230,43238,39241,7809,41485,35273,42037,8848,20881,5514,8669,12323,20428,25873,33258,43835,12859,16547,17683,15749,20321,13387,8319,7385,15733,12447,42611,13244,18641,14193,11342,8212,28448,8789,12863,5882,200671,26873,20566,44894,10861,153331,16451,48225,12146,12869,14017,15869,8288,27662,54677,25277,16288,32532,13553,7976,29013,15277,24781,17795,59173,25617,18588,11565,6496,53001,15073,17889,19358,8173,16772,14181,3134,5263,6220,15228,10789,15374,12203,8165,6772,5972,41521,7143,17731,12358
102459,7100,17126,27526,9464,17102,6035,8763,11342,34626,8977,43293,29158,8263,156527,58521,65154,24256,16571,19562,28396,27496,45997,43230,8695,45414,38634,44812,9423,22729,6030,9333,12852,21135,27445,34767,45990,13965,17977,18675,16937,22065,14142,8865,8019,17315,13315,45869,14505,19413,15211,11809,9355,30718,9659,13840,6387,210365,27212,21324,50244,12220,172197,18645,52493,12264,13711,14923,16987,9072,31220,59203,27493,18025,35761,15557,8847,31452,15969,26750,20219,63878,27761,21136,13337,7695,56836,16175,19200,21141,8999,18103,15189,3270,5891,7176,16604,11443,16359,13452,8935,7697,6622,43953,7604,20348,13431
100687,7170,16621,27540,9503,17078,5905,8926,11589,35296,9003,41621,28410,8598,150808,57731,63110,23520,16099,18473,29043,28027,44587,44127,9190,44970,38942,43858,9208,23108,6126,9477,12576,19811,26280,33330,44414,13307,17154,18030,16781,21411,14075,9167,7914,16891,13033,46299,14181,18486,15195,11497,9121,29374,9563,13656,6555,201205,27363,21745,53889,13633,184625,20580,56905,12580,14114,15086,17101,10097,34477,64369,29517,19329,39506,17400,10067,33374,17478,28100,22905,66772,29522,23722,14796,8623,59693,16986,20442,21214,9513,18288,14507,3431,6411,7500,16349,10834,15734,12669,9578,8403,6910,42167,7683,22458,14254
102159,7665,17236,29796,9976,18014,5918,9900,11666,36673,9484,41766,29037,9343,152632,57005,63537,24606,17074,18880,30504,28456,45856,44994,9367,44756,39524,45117,9727,22999,6162,10038,13315,20899,25903,33375,44412,13875,17084,17783,16844,22123,14662,10054,8342,17291,13044,45621,14199,18886,15709,11985,9394,30012,9941,14680,7455,201346,29586,24163,55672,15311,189399,22721,60509,13719,14981,15355,18472,11413,36442,67538,30295,20625,40654,18820,10539,35727,18951,30025,24754,68661,31136,25131,15620,9363,61917,18489,20878,22422,10118,18778,14441,4082,6893,7658,16764,11003,15671,11900,10000,9021,7156,41861,8611,23158,14794
109262,8045,17967,30489,10028,19161,5998,10309,11933,38488,9935,44007,30423,9199,171044,56983,65088,26701,17882,19812,30594,29070,48242,45150,9645,44807,40188,47092,10393,23661,6352,11377,14643,23820,26948,36173,50366,14811,17684,18733,17239,22735,16043,10614,8900,18221,13577,47937,14795,21013,16823,13094,10166,32256,10311,15731,8188,216179,31859,27133,57903,16727,194357,24780,65297,15774,16831,16675,19688,12153,36746,70658,31053,22239,43099,20829,11466,40434,20839,32226,24801,73574,34908,25360,16227,9758,67553,19543,22573,24653,10950,21378,15058,4694,7566,7838,16642,11650,16426,12668,10839,9606,7237,42709,8668,23195,16720
117643,8417,19049,31321,10504,19940,6340,10591,12076,39341,11064,47084,32339,9204,193562,60367,69191,29075,19005,21603,30447,29664,52498,45346,9577,45861,41966,49840,11393,25502,6456,11922,15208,26430,28668,38236,56548,15816,18952,20386,18450,23515,16854,11097,9454,18968,15179,52901,15920,22810,18409,13866,10650,35519,11250,17513,8328,239075,34397,28675,58209,16273,189667,25171,66841,17226,17517,17260,21139,12077,35556,71602,31607,22569,42504,21007,11451,43068,21606,33900,24157,73176,36301,25004,15364,9450,68259,20556,23604,27184,11030,23717,16132,5000,8139,7624,17162,12882,17630,14677,11114,9793,7265,46617,9401,22555,18311
127908,9146,21788,33829,11439,22116,6914,10935,13093,41392,11773,52342,35989,10244,211400,67815,78628,32001,21005,24826,32760,31229,57271,49019,10437,50896,46157,55086,13002,28922,7238,11834,16338,28465,32503,42471,62967,18087,21443,22859,20689,27400,18355,11825,10856,21622,16851,58099,17888,25674,19851,15343,11877,39550,12502,19630,8769,276728,37224,30891,62211,16386,196537,25155,69264,18538,19058,18792,23129,12740,36862,76467,34272,23410,46916,21263,12025,44562,22344,34315,25267,76937,37106,25375,15268,9296,70369,21430,25278,30145,11721,27311,18645,5115,9269,8502,18841,14408,20744,16381,10927,9474,7972,52862,10084,23732,21208
153836,11006,26126,38710,14170,27697,8457,13056,16704,50940,14148,63733,43676,11879,237554,80650,92708,39114,25406,30497,34519,36246,67150,59853,12737,62003,58348,66966,16657,35133,9185,14516,19517,33235,40256,51338,73556,23721,27769,28801,25654,33896,21647,13725,13252,26999,20959,68896,22914,31030,23761,18458,14952,45842,15195,23113,10515,324466,42806,34156,67692,17979,216539,28122,75158,20724,21321,21981,26753,14724,42248,89357,41820,27694,56977,23780,13703,48733,24102,37224,28704,85810,41792,28438,17010,10251,77236,22984,28247,36967,13918,32987,22376,5467,10746,11062,23197,17088,25311,19238,11374,10361,10160,63947,12039,28153,24781
182061,12869,29629,45020,16538,32666,10176,16227,21596,65391,17225,72289,49695,13962,273063,90595,103923,44989,28070,34016,41065,41507,76047,70932,16104,73671,70221,77795,18745,42638,11646,18597,22953,37119,45300,59025,84172,28415,32475,32792,28665,37542,23520,15808,15226,31745,23822,81689,27563,35023,27049,20606,17465,50858,17647,25225,11728,371169,47133,36616,71481,20090,236642,30737,82670,22236,24040,25616,29384,16276,45426,96648,43374,29397,59629,26824,14696,51805,25589,38498,32241,92651,47036,31480,18962,11627,82620,24143,31040,41456,15533,38370,25535,6017,12011,13719,26759,19160,28808,21375,12226,11077,12771,73474,13013,30870,27365
