"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
69,2575,58,5,29,54,146,92,0,0.05190188410949165,12,5,0.41631973355537055,1
70,2571,58,7,28,50,143,99,0,0.05083540703874867,13,6,0.46118370484242893,1
71,2567,58,7,27,50,142,104,0,0.05047991468183434,14,7,0.4996431120628123,1
72,2566,54,11,25,48,138,109,0,0.04905794525417703,15,8,0.5329780146568954,1
73,2562,54,9,26,48,137,114,0,0.04870245289726271,16,8,0.4996876951905059,1
74,2558,54,10,24,48,136,119,0,0.048346960540348385,17,9,0.5291005291005291,1
75,2555,55,9,23,46,133,125,0,0.0472804834696054,18,10,0.555247084952804,1
76,2551,56,6,26,48,136,126,0,0.048346960540348385,19,12,0.6312467122567069,1
77,2547,55,8,26,47,136,130,0,0.048346960540348385,21,14,0.6663493574488338,1
78,2544,54,11,25,45,135,134,0,0.047991468183434055,21,14,0.6663493574488338,1
79,2542,50,11,24,48,133,138,0,0.0472804834696054,23,15,0.651890482398957,1
80,2541,49,12,22,48,131,141,0,0.04656949875577675,24,15,0.6247396917950854,1
81,2540,47,12,24,44,127,146,0,0.04514752932811945,26,16,0.6151480199923106,1
82,2534,44,13,24,48,129,150,0,0.0458585140419481,27,16,0.5923731951129211,1
83,2532,43,13,21,48,125,156,0,0.04443654461429079,28,17,0.6069260978222063,1
84,2528,45,13,20,47,125,160,0,0.04443654461429079,30,19,0.6331222925691435,1
85,2528,42,12,20,46,120,165,0,0.04265908282971916,31,19,0.6127055788455337,1
86,2526,34,18,18,44,114,173,0,0.0405261286882332,32,19,0.5935645110902843,1
87,2523,33,18,19,43,113,177,0,0.04017063633131888,33,19,0.5755831566192063,1
88,2522,29,16,21,44,110,181,0,0.0391041592605759,34,19,0.558659217877095,1
89,2521,27,16,22,44,109,183,0,0.03874866690366157,36,21,0.583171341294085,1
90,2520,24,16,22,43,105,188,0,0.03732669747600426,38,23,0.6051039200210471,1
91,2518,24,14,24,41,103,192,0,0.036615712762175616,40,25,0.6248437890527369,1
92,2516,22,14,26,42,104,193,0,0.03697120511908994,41,25,0.60960741282614,1
93,2513,23,14,26,39,102,198,0,0.036260220405261286,43,26,0.6045105789351314,1
94,2510,24,15,24,38,101,202,0,0.03590472804834696,45,26,0.5776494112419462,1
95,2509,18,17,23,39,97,207,0,0.034482758620689655,46,27,0.5868289502282112,1
96,2507,18,17,20,39,94,212,0,0.03341628154994668,47,26,0.5530738140821102,1
97,2505,20,16,20,37,93,215,0,0.03306078919303235,49,27,0.5509079779636809,1
98,2502,22,14,21,38,95,216,0,0.033771773906861,50,27,0.5398920215956808,1
99,2501,18,15,20,40,93,219,0,0.03306078919303235,51,26,0.5097039796118409,1
100,2499,19,16,20,39,94,220,0,0.03341628154994668,52,25,0.4806767929244376,1
