"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
66,17607,588,83,65,193,929,55,0,0.04997041579258781,53,41,0.7734389737785324,1
67,17518,642,85,79,208,1014,59,0,0.054542520574471516,59,44,0.7456363328249449,1
68,17412,707,93,92,218,1110,69,0,0.059706309504599,63,47,0.7459133470877639,1
69,17329,742,99,100,245,1186,76,0,0.06379430907428325,70,53,0.7570347093272389,1
70,17223,793,108,118,265,1284,84,0,0.06906567694045505,77,59,0.7661342682768472,1
71,17127,848,112,126,285,1371,93,0,0.0737453606583831,81,64,0.7900259227255894,1
72,17018,904,124,140,299,1467,106,0,0.07890914958851057,89,70,0.7864284911807662,1
73,16916,948,123,155,328,1554,121,0,0.0835888333064386,97,73,0.7524997422946088,1
74,16810,985,137,179,349,1650,131,0,0.08875262223656608,104,79,0.7595423516969522,1
75,16716,995,157,196,381,1729,146,0,0.09300199021031683,111,85,0.7656967840735068,1
76,16582,1052,162,210,425,1849,160,0,0.09945672637297617,118,92,0.779594949580544,1
77,16459,1107,149,234,456,1946,186,0,0.10467430477112581,129,99,0.7673823734594218,1
78,16318,1169,166,246,485,2066,207,0,0.11112904093378516,137,105,0.7663674184366105,1
79,16184,1227,171,263,518,2179,228,0,0.11720725082028939,148,115,0.7769745287480576,1
80,16056,1281,169,281,555,2286,249,0,0.12296272389866064,158,120,0.7594456047085628,1
81,15919,1331,182,299,587,2399,273,0,0.12904093378516487,167,125,0.7484581761571164,1
82,15773,1385,208,305,617,2515,303,0,0.13528051207573558,179,137,0.7653203731635104,1
83,15610,1436,231,321,654,2642,339,0,0.14211177451455004,192,148,0.7707931878547992,1
84,15455,1489,231,348,687,2755,381,0,0.14818998440105427,204,156,0.7646683986079114,1
85,15234,1602,247,365,721,2935,422,0,0.1578720886450433,218,166,0.7614329617907436,1
86,15049,1669,260,376,757,3062,480,0,0.16470335108385778,230,171,0.7434459371331682,1
87,14852,1739,264,404,797,3204,535,0,0.17234145554300467,239,174,0.7280030124262583,1
88,14649,1817,266,439,835,3357,585,0,0.18057124415039535,251,186,0.7410063344089877,1
89,14445,1887,293,464,862,3506,640,0,0.1885858748856974,264,195,0.7386083860459831,1
90,14225,1976,319,486,896,3677,689,0,0.19778387391748695,278,202,0.7265925686126399,1
91,14015,2051,309,519,950,3829,747,0,0.20595987305685548,292,214,0.7328516146707305,1
92,13778,2137,332,546,998,4013,800,0,0.21585713517293315,303,219,0.7227484241444176,1
93,13591,2177,345,571,1041,4134,866,0,0.22236566080361464,313,222,0.7092425162135395,1
94,13360,2260,363,590,1079,4292,939,0,0.23086439675111614,327,231,0.7064004158894224,1
95,13105,2365,383,604,1120,4472,1014,0,0.24054650099510516,339,238,0.7020441874870947,1
96,12868,2405,403,639,1190,4637,1086,0,0.24942176321876178,352,247,0.7016846112326355,1
97,12631,2476,424,667,1230,4797,1163,0,0.25802807810230755,365,251,0.6876523930851209,1
98,12353,2562,438,692,1295,4987,1251,0,0.2682480770265182,381,260,0.6823967874858927,1
99,12082,2632,465,725,1357,5179,1330,0,0.27857565488677316,397,269,0.6775647968565024,1
100,11841,2683,470,769,1410,5332,1418,0,0.28680544349416387,411,276,0.6715165081141579,1
101,11578,2731,506,797,1458,5492,1521,0,0.29541175837770967,427,289,0.6767991381934849,1
102,11309,2787,524,815,1513,5639,1643,0,0.3033188101769673,443,302,0.6817001873546873,1
103,11051,2838,532,862,1563,5795,1745,0,0.31170996718842453,458,311,0.6790244754481344,1
104,10772,2912,530,906,1613,5961,1858,0,0.32063901888010327,472,317,0.6715959407639669,1
105,10518,2948,543,943,1684,6118,1955,0,0.3290839653595826,489,326,0.6666530336802928,1
106,10262,2974,566,973,1742,6255,2073,1,0.3364531224786187,504,334,0.6626852641812663,1
107,9983,3005,595,993,1810,6403,2204,1,0.34441396374589855,520,346,0.6653718197726967,1
108,9709,3031,602,1031,1886,6550,2331,1,0.35232101554515627,536,355,0.6623010764724538,1
109,9452,3036,611,1081,1951,6679,2459,1,0.35925985692001505,553,365,0.6600242310265637,1
110,9189,3057,631,1116,2016,6820,2581,1,0.36684417191113977,569,376,0.660796822551449,1
111,8957,3050,640,1145,2084,6919,2714,1,0.37216932924533375,581,379,0.6523123526273213,1
112,8720,3033,667,1167,2127,6994,2876,1,0.37620353934699585,595,383,0.6436866607283911,1
113,8477,3027,682,1182,2180,7071,3042,1,0.38034532838470225,610,395,0.6475303683546172,1
114,8239,3042,645,1243,2202,7132,3219,1,0.38362648593405413,626,406,0.6485519400648552,1
115,8031,3008,675,1253,2234,7170,3389,1,0.3856704857188962,642,416,0.6479649849690815,1
116,7822,2955,687,1259,2277,7178,3590,1,0.3861008014630735,657,424,0.645347863807248,1
117,7616,2906,685,1280,2328,7199,3775,1,0.3872303802915389,673,430,0.6389206698265999,1
118,7449,2831,666,1334,2365,7196,3945,1,0.38706901188747245,687,432,0.6288118076883888,1
119,7255,2802,647,1383,2379,7211,4124,1,0.3878758539078049,702,444,0.6324696229398442,1
120,7081,2701,678,1398,2420,7197,4311,2,0.3871228013554946,716,450,0.628482842418402,1
121,6924,2609,651,1446,2461,7167,4498,2,0.38550911731482973,733,460,0.627549419516787,1
122,6759,2543,640,1485,2476,7144,4686,2,0.38427195955032006,752,472,0.6276512280421803,1
123,6594,2483,649,1496,2486,7114,4881,2,0.3826582755096552,766,474,0.6187908774036892,1
124,6430,2427,636,1502,2490,7055,5104,2,0.3794846968963477,784,481,0.6135125827476691,1
125,6285,2348,626,1498,2507,6979,5324,3,0.3753966973266634,797,490,0.614797806802926,1
126,6131,2303,622,1503,2505,6933,5524,3,0.37292238179764403,817,504,0.6168835142776711,1
127,5979,2218,640,1476,2500,6834,5774,4,0.36759722446345006,831,509,0.6125076713878292,1
128,5844,2141,658,1449,2488,6736,6007,4,0.36232585659727823,849,521,0.6136559051130139,1
129,5696,2095,650,1448,2486,6679,6212,4,0.35925985692001505,859,523,0.6088404093083899,1
130,5573,2028,622,1453,2469,6572,6442,4,0.3535043838416438,873,528,0.6048040686819166,1
131,5430,1984,604,1461,2456,6505,6651,5,0.349900489484159,886,529,0.5970587239421677,1
132,5311,1910,590,1470,2434,6404,6871,5,0.3444677532139207,904,543,0.600657072377518,1
133,5166,1902,556,1462,2412,6332,7088,5,0.3405949115163251,917,543,0.5921418523244021,1
134,5027,1856,557,1453,2364,6230,7328,6,0.3351083857780647,932,551,0.5911953734401991,1
135,4907,1812,539,1464,2323,6138,7540,6,0.33015975472002584,946,558,0.5898457733004937,1
136,4788,1745,548,1452,2277,6022,7775,6,0.3239201764294551,959,561,0.5849782588294179,1
137,4664,1704,545,1436,2234,5919,8001,7,0.3183798612231725,974,569,0.5841829139331218,1
138,4539,1675,519,1438,2184,5816,8229,7,0.3128395460168899,989,576,0.5824005824005825,1
139,4396,1671,514,1429,2127,5741,8447,7,0.3088053359152278,998,575,0.5761465315978798,1
140,4265,1677,511,1399,2046,5633,8686,7,0.3029960733688344,1011,582,0.5756619618005757,1
