ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SPERFICIEAREATOTALE,SPERFICIEAREALIBERA,VOLUME
201819,CEAA83701E,610830009,"5.018,00",-,6289.5
201819,BSTD02701Q,170650804,"20.055,00","13.130,00",11346
201819,NAAA8BD03C,630490042,"1.500,00",-,2060
201819,VETD028012,270243864,"32.542,00",-,11060
201819,PZAA83302C,760450056,"200,00","90,00",1462
201819,SAAA89603R,650101181,"1.861,00","1.270,00",7689
201819,MIAA8BT014,151700176,"4.082,00","2.874,00",3986
201819,PEEE810033,680070182,"1.290,00","526,00",7460
201819,MCAA81403Q,430300766,"1.600,00","1.292,70",1775.95
201819,BOAA808027,370061001,"3.829,50",-,3918.33
201819,VEPS023013,270423839,"15.420,00","10.520,00",28600
201819,AQEE00604G,660491530,"3.698,00",-,4137
201819,FGAA87202X,710290897,"13.128,00","10.308,00",2802
201819,BSPS00901A,170780960,"17.100,00","14.189,00",26905
201819,SAEE81301G,650830001,"1.450,00","826,00",2071
201819,RMMM8FD01X,580911032,"7.614,00","4.710,00",14880
201819,ARIC812007,510410005,"2.110,00",-,7600
201819,BGAA860019,161440046,"3.525,00","1.877,00",6213
201819,PDEE84901L,281002941,"10.700,00","8.100,00",13740
201819,RCMM81902X,800890710,"550,00","290,00",2000
201819,PGEE84502G,540301097,"433,00","120,00",1500
201819,AGIS01600N,840411618,"17.500,00","13.000,00",29490
201819,BLEE825074,250460931,"530,00","290,00",2208
201819,VIMM89001G,241022892,"9.172,00","6.489,00",11013
201819,COMM85102E,130350337,"9.838,00","7.546,00",17354
201819,IMAA81502R,80390099,"1.600,00","100,00",3500
201819,ALMM824014,60390033,"752,00","261,00",2946
201819,FRPS010009,600380541,"1.880,00","1.020,00",10080
201819,LTIC82700R,590280711,"4.331,00","2.600,00",12092
201819,MSAA80901E,450030024,"1.500,00","4.503,00",4500
201819,FOEE82002A,400120855,"7.050,00","5.382,00",7807
201819,TAAA04003V,730040043,"2.200,00","1.358,00",5577
201819,PDRI02251Q,280604192,"10.814,00","7.029,00",45456
201819,BNAA83703G,620270642,"7.427,00","5.691,00",5980
201819,BNMM82604A,620410001,"3.050,00","2.070,00",6862
201819,LTPS001028,590051012,"8.522,00",-,38436
201819,RNEE820026,990030204,"500,00",-,-
201819,RMEE8AT036,580351259,"4.750,00","38.431,00",7240
201819,CRTA00201A,190360266,"45.540,00","39.951,00",72800
201819,CSTD06901P,780450746,"14.614,00","9.859,00",28710
201819,TAAA83901G,730270002,"3.850,00","800,00",49000
201819,AOEE018030,70337300,"1.437,40","294,00",3800
201819,LEEE861014,750160469,"6.650,00","4.149,00",18881
201819,FIEE86102B,480380022,"13.539,00","5.000,00",6240
201819,BOIS02200Q,370200436,"15.844,00","13.132,00",9029
201819,TOEE8AA032,11250014,"4.015,00","1.796,00",-
201819,AGPS060005,840011227,"660,00","300,00",5400
201819,COEE84101X,130070319,"7.550,00","4.500,00",13877.5
201819,CHAA83008Q,690160021,"960,00","698,00",1268
201819,ENRA00201C,860021425,"393,00","70.000,00",3279
201819,GEMM86301T,100250106,"1.317,00","578,00",10598
201819,PGEE03909L,540240402,"2.321,00","1.933,00",1700
201819,PVIC82300T,180230261,"2.800,00","2.150,00",4550
201819,RMAA8FJ018,580910130,"2.950,00","2.000,00",3230
201819,PSEE83401L,410430613,"16.800,00","13.790,00",3440
201819,VTAA82801P,560361963,"2.746,82","757,27",2932
201819,CZEE84601D,790810513,"1.700,00","1.121,00",6079.5
201819,TAEE81201R,730180046,"5.155,00","3.371,00",15052
201819,NUEE835016,910160002,"10.164,00","9.205,00",10090
201819,POMM82201P,1000030004,"6.054,00","4.612,00",32000
201819,CAEE847032,920750166,"9.949,00","8.564,00",3002
201819,APMM809017,440320321,"2.730,00","1.690,00",6672
201819,CLSL00601P,850070886,"23.488,00","22.997,00",8101
201819,PIAA829025,500140001,"900,00","338,00",1967
201819,CSEE87207C,780400149,"800,00",-,2400
201819,PGMM813045,540481091,"561,00",-,3182
201819,ISEE82204C,940230214,"4.330,00","2.393,00",13559
201819,CSAA84001D,781160916,"620,00",-,2355
201819,SAAA8BF01C,650271975,-,-,-
201819,VRAA88801Q,230912000,"2.376,00","1.595,00",3038
201819,CSAA8AG01C,780440155,"2.940,00","2.011,00",7153
201819,SIMM828023,520250001,"1.070,00","980,00",5900
201819,TSMM818018,320060026,"7.350,00","4.545,00",24582
201819,SAIC8A200N,650431662,-,-,-
201819,PAEE85601X,820534267,"5.300,00",-,16155
201819,TVAA87802E,260433010,"8.221,00","7.875,00",1200
201819,FITD00801T,480330002,"9.040,00","3.423,00",14346
201819,CBEE830015,700590103,"754,00",-,7290
201819,CTAA880057,870151372,"916,00",-,7277
201819,SAMM89301B,651160110,"3.322,00",-,20128
201819,NATD084511,630590007,-,-,-
201819,PVIC80700X,181680189,"2.500,00","1.241,00",5050
201819,CSMM85802X,781110956,"6.230,00","4.359,00",8840
201819,NAMM8GT01Q,630492112,-,-,-
201819,CREE82801L,190050116,"9.990,00","8.709,00",7094
201819,GOMM80301P,310120016,"2.197,00","625,00",3890
201819,RAAA802036,390140437,"3.480,00","2.695,60",3109
201819,LTMM834011,590060322,"596,00",-,4303
201819,CSEE8AM08D,781080340,"5.599,00","194,00",5911
201819,BNTA01601G,620080115,"67.250,00","59.828,00",1347.5
201819,LUAA82707B,460315001,"1.670,00",-,2825
201819,REEE83101Q,350280248,-,-,-
201819,GEMM82901A,100250123,"2.058,00","585,00",26186
201819,LTEE805045,590111832,"2.640,00","1.986,00",1060
201819,MOEE824028,360380002,"3.770,00","1.800,00",5921
201819,VCEE817023,21560003,"1.180,00","820,00",6560
201819,TEMM81001E,670150483,"1.019,00","306,00",8163
201819,FGPM02901B,710510399,"4.962,00",-,12848
201819,PDMM87204Q,280812202,"3.224,00","2.163,00",5454
201819,LTEE842022,590190342,"1.052,00","298,00",9962
201819,SVMM80502X,90330023,"2.000,00","860,00",5600
201819,BAEE071044,1100030759,"14.773,00","12.318,75",24130
201819,CTAA04601L,870080820,"911,00","272,00",2236
201819,RNAA018044,990280333,"5.950,00","2.600,00",4725
201819,MOAA80502N,360280207,"4.265,00","2.952,00",5910
201819,CTAA081021,870510862,"2.600,00","2.047,00",1150
201819,PGPC04000Q,540520601,"2.670,00","418,00",28919
201819,KREE82501B,1010221454,"1.200,00","200,00",5400
201819,CSIS049007,780311435,"31.493,00","26.377,00",40306
201819,MORC00201B,360460324,"9.232,12","5.205,67",26861.04
201819,UDEE84106N,301290047,"8.500,00","3.606,00",10592
201819,TORC01901G,12650018,"24.927,00","21.500,00",28275
201819,RAIC81300N,390090185,"6.193,00","4.562,00",11550
201819,CHAA82002V,690150046,"1.510,00",-,2630
201819,ALMM810027,60170003,"800,00","250,00",2250
201819,MIIC8CH00T,151460363,"7.728,00",-,51208
201819,FGRH060003,710462154,"3.170,00","27,00",9602
201819,TVMM83702C,260502804,"6.300,00","4.190,00",18069
201819,NAEE03601V,630491826,"6.365,00","2.725,00",41245
201819,SPMM81601V,110150138,"3.560,00","400,00",32000
201819,CAIC874006,920900539,"15.442,00","10.103,00",13376
201819,LEAA85503N,750940226,"740,00","225,00",2300
201819,CAEE83401T,1110420340,"1.900,00","1.451,00",2968
201819,OREE812011,950500037,"3.163,00","2.017,00",3438
201819,CAMM88503Q,1110850791,"2.853,00","1.435,00",5830
201819,NAEE8GD03P,630490141,"672,00",-,4000
201819,MTPC00101N,770180184,"2.130,00","668,00",12000
201819,SAAA8AH03G,651060179,"2.000,00","1.349,00",3385
201819,PREE81607T,340220043,"924,00","1.290,00",4200
201819,NAEE361016,630341588,"11.350,00","8.478,00",9612
201819,BGEE86001E,161440994,"5.025,00","3.424,00",5392
201819,KRMM826016,1010120145,"3.184,00","3.000,00",7041
201819,MSAA014068,450010009,"1.630,00","1.130,00",2345
201819,LIMM00100P,490091048,"780,00","290,00",2589
201819,TORH00601P,10820013,"17.373,00","14.269,00",22348
201819,CLMM81901A,850120799,"4.551,00","2.733,00",23911
201819,SSEE855039,900640630,"4.090,00","2.628,00",6624
201819,VVAA81801P,1020060423,"660,00",-,1100
201819,PIEE833011,500260006,"3.529,00",-,9321
201819,TPPS10000Q,810112545,"6.192,00","2.991,00",26461
201819,SAMM83801V,650141203,-,-,-
201819,SSAA85104T,900641735,"1.173,00","849,00",1215
201819,CEPC03301T,610830023,-,-,-
201819,PRAA838039,340180001,"306,00","1.167,00",918
201819,GREE83303R,530110016,"2.818,00","1.766,00",9493
201819,SVAA803068,90360105,"1.648,00","1.407,00",1928
201819,TVTD06000R,260513754,"13.631,00","10.931,00",25796
201819,LEIC861002,750160469,"6.650,00","4.149,00",18881
201819,PIPC00701T,500260303,"16.074,00","9.016,00",30043
201819,NUMM87001C,910950667,"6.100,00",-,10335
201819,TVEE84502C,260682947,"3.000,00","2.638,00",2500
201819,CTTF03000R,870152917,"6.182,00",-,3411
201819,FREE80306X,600210404,"1.538,00","1.236,00",1482
201819,AVRH04000X,640080007,"11.624,00",-,8025
201819,CTIC886005,870151978,"10.449,00",-,8350
201819,SAPM050003,651160595,"2.900,00","1.370,00",22613
201819,PDEE84301N,280421962,"12.110,00","9.224,00",6980
201819,FIPS008012,480330002,"9.040,00","3.423,00",14346
201819,NAAA8F401R,630732099,-,-,-
201819,MIEE844017,150460752,"6.500,00","4.300,00",22000
201819,RETD02000L,350200305,"20.232,00","16.206,00",12890
201819,CNAA85802C,41300007,"3.245,00","2.218,00",5500
201819,TOAA185049,10900001,"3.476,00","2.921,00",3774
201819,PZIC842009,760480425,"5.578,00","3.945,00",11430
201819,VEPS04000Q,270333820,"10.800,00","7.918,00",5951
201819,VTMM819025,560280171,"1.857,00","931,00",5756
201819,VIAA87802T,240292286,"3.860,00","2.880,00",3824
201819,ALEE80608V,60700001,"1.770,00","1.500,00",630
201819,BAAA846012,720060013,"2.734,00","372,00",25100
201819,CAMM20300V,1110621750,-,-,-
201819,MIPS240005,1080500005,"101.550,00","62.450,00",21930
201819,MNIC81600D,200570300,"7.730,00","44.528,00",11018
201819,BLEE82806E,250670729,"848,00","500,00",4454
201819,CSEE84001P,781160689,"1.564,00","1,02",3753
201819,PAEE8AF01D,820142073,"2.057,00","981,00",11822.9
201819,SRAA81601X,890051187,"1.600,00","800,00",5600
201819,GOPM00101N,310070040,"16.660,00","5.310,00",33060
201819,PDAA85702B,281052235,"7.472,00","2.635,00",6116
201819,FRAA83704Q,600030002,"1.400,00","700,00",3160
201819,CBAA81601N,700570063,"1.867,00",-,14820
201819,TOAA8AB01E,11600001,"3.158,00","2.643,00",1790
201819,VAMM86101T,121180400,"9.930,00","7.530,00",11000
201819,RMMM84001B,580911044,"11.979,00","10.012,00",21578
201819,MNAA820034,200380073,"1.098,00","245,00",8274
201819,BOEE07201Q,370200352,"7.261,37","4.542,21",30282
201819,APTD013018,440070354,"4.090,00","1.140,00",42024
201819,NAEE8BD02L,630490042,"1.500,00",-,2060
201819,MIAA84701D,150720111,"8.400,00","6.282,00",7413
201819,CZMM86001P,790230825,"1.500,00","500,00",11834
201819,NAMM47600P,630700007,"7.000,00","5.200,00",21600
201819,MIEE8BW02G,152050684,"8.575,00","5.070,00",13300
201819,CSEE8AV012,781191205,"1.490,00","570,00",3367
201819,PEAA827026,680240948,"520,00","387,00",426
201819,ATEE81402L,50050028,"1.345,00","945,00",6260
201819,NOEE83202E,30240006,"910,00","395,00",3450
201819,ENMM810018,860153231,"5.066,00","3.426,00",25067
201819,CNRH02602C,41300024,"2.070,00",-,18060
201819,PRIC834003,340270056,"10.719,00","8.150,00",14369
201819,BOTF01901C,370061000,"45.408,00",-,207032
201819,SREE840034,890121469,"2.333,00","1.354,00",5663
201819,RCIC86300X,800610515,"2.860,76","1.100,00",10164
201819,BAAA88604G,720060019,"1.410,00","895,00",2864
201819,SIAA82501A,520320022,"1.120,00","700,00",2349
201819,SIMM80901L,520060002,"7.000,00","5.014,00",3600
201819,CTMM8AU018,870040864,"5.633,00","3.106,00",12355
201819,VBEE80403B,1030290004,"198,00","23,00",855
201819,SOMM03300P,140450350,-,-,-
201819,BRPM04000V,740051771,"10.534,00",-,17030
201819,TRTF006016,550040228,"19.293,00",-,9677
201819,BSMM82101B,170460795,"7.970,00","6.147,00",8520
201819,PSAA822026,410100092,"1.395,00","815,00",2378
201819,PAMM88501V,820674496,"7.193,00","4.939,00",12736
201819,TVEE868036,260553070,"4.960,00","4.385,00",4312
201819,BSEE824021,170920870,"3.195,00","2.310,00",4303
201819,MCEE83203E,430440172,"3.400,00","1.808,00",6800
201819,SARH05702L,650250509,"7.443,00",-,2390
201819,VREE88903V,230912040,"4.150,00","3.470,00",8165
201819,CTEE814019,870032711,"7.042,00","5.650,00",4255
201819,UDAA826048,300800001,"10.388,00","7.655,00",2670
201819,SRAA852013,890111286,"15.500,00","12.200,00",18950
201819,PZIS029003,760360485,"35.000,00",-,14174
201819,APCT702008,1090060267,"6.570,00","5.430,00",13100
201819,MIRI098019,1080151541,"11.150,00","6.830,00",8200
201819,RMIC8DQ001,580743340,"2.100,00","1.228,00",8590
201819,VIMM814012,240792883,"12.172,00","2.640,00",9200
201819,SAEE80901X,650210004,"3.749,00","2.824,00",6845
201819,UDTL01000E,301290060,"31.000,00","27.200,00",37600
201819,BGRH006014,161830773,"3.809,00","2.819,00",13897
201819,ARIC842003,510170015,"11.826,00","11.003,00",5125.88
201819,NAAA826023,630491414,"5.465,00","3.000,00",11000
201819,SAMM81301E,650830004,"3.700,00","3.088,00",4284
201819,PDEE896038,280324260,"2.650,00","7.000,00",-
201819,NAMM81401X,630490812,-,-,-
201819,FIEE841026,480170035,"27.600,00","24.670,00",21800
201819,BLRH003017,250163990,"1.628,00","516,00",14118
201819,RMAA8CM032,580913401,"2.768,00","1.947,00",2918
201819,VAEE82102D,120920236,"6.620,00","4.423,00",12150
201819,MOTA011013,360060335,"11.000,00",-,2500
201819,RMAA8G701T,580794005,"1.950,00",-,3000
201819,COMM831018,132010515,"1.800,00",-,9020
201819,BOMM809038,370140341,"328,00",-,1143
201819,FIAA81501B,480490004,"4.570,00","3.160,00",5640
201819,RERA00901L,350330340,"50.008,00","39.856,00",11777
201819,COAA844038,130650048,"1.300,00","950,00",1560
201819,ORIS009007,950381701,"78.700,00",-,3963
201819,RGTL02101E,880062237,"16.315,00","10.538,00",28225.66
201819,CAMM8AC01Q,1110480194,"8.300,00","6.096,00",7503.08
201819,RMPS160002,580071416,"4.851,00","856,00",3766
201819,RMPS024013,580341424,"14.090,00","10.483,00",21296
201819,BOAA868052,370390251,"5.063,00","5.063,00",10572
201819,ATEE81509Q,51130001,"4.000,00","2.900,00",5000
201819,CEEE86601Q,610010005,"4.008,00",-,1789.1
201819,CZIC84000C,790590909,"3.418,00",-,5400
201819,PIAA81401A,500260049,"15.434,00","13.445,00",108038
201819,NAEE8CT04D,630560001,"568,00","244,00",1296
201819,BREE820037,740050752,"2.009,00","1.481,00",4315
201819,TOPS018017,12720235,"8.660,00","5.789,00",31295
201819,LTMM804015,590110305,"10.748,00","7.638,00",22700
201819,MIAA8A103R,152090132,"4.173,00","3.415,00",2388
201819,TOMM89301B,12690003,"2.450,00","1.670,00",5240
201819,TAAA857015,730260123,"2.500,00","300,00",3158.94
201819,AGAA83601G,840231136,"1.300,00","848,00",1850
201819,BNPS00401X,620571825,"4.083,00","2.892,00",2580
201819,NAEE8BY01V,630490401,-,-,-
201819,RMIS092007,580911144,"800,00",-,-
201819,BAMM87401A,720301411,"8.965,00","7.025,00",9800
201819,ANAA83101N,420100051,"1.640,00","800,00",2838
201819,CNEE84001B,40640001,"3.500,00","450,00",8926
201819,VTEE81101E,560490085,"16.200,00","14.815,00",8900
201819,PVAA800089,180490595,"220,00",-,-
201819,CSAA87403P,780780001,"3.070,00","1.397,00",3000
201819,SAAA8A301A,650370917,"7.550,00","5.320,00",7420
201819,MERA028014,830093324,"5.500,00","2.600,00",32830
201819,SAEE8AE017,650141225,-,-,-
201819,TPEE81803P,810044321,"8.002,00","5.536,00",9500
201819,MEEE83206V,830653002,"925,00","288,00",3110
201819,TOMM8AR01D,11810003,"6.387,00","5.091,00",4244
201819,CLPM018015,850071188,"9.948,00",-,27625
201819,BGEE842022,160750422,"8.209,65","6.127,65",18738
201819,AOPS010002,70038701,"789,00",-,2.76
201819,BSAA844021,170090596,"9.674,00","7.184,88",9072.9
201819,TOTD05000T,10130009,"2.103,00","1.336,00",5653
201819,AGEE84603D,840031389,"1.259,00",-,4600
201819,GEAA80401T,100580097,"2.730,00","2.000,00",2900
201819,CBMM83303N,700420125,"762,00",-,7889
201819,MIEE8AQ017,150770666,"5.516,00","3.941,00",9568
201819,FRAA80301D,600310106,"1.710,00","1.219,00",2086
201819,ANEE84804B,420450149,"2.997,00","2.030,00",2963
201819,RGAA824067,880092172,"7.072,00","4.812,00",16046
201819,BSMM886016,170290443,"12.507,00","7.858,00",14757
201819,NAMM871014,630460005,"5.965,00","3.453,00",19580
201819,PNEE830012,930330005,"3.428,00","2.372,00",9377
201819,MEIC8AA00E,830493135,"6.440,00","4.119,00",11566.31
201819,FOAA80804L,400310097,"1.200,00","800,00",2400
201819,APEE813032,440210269,"2.000,00","1.510,00",3350
201819,VRPS03000R,230913900,"3.500,00","1.620,00",35400
201819,TVMM86002D,260170830,"2.534,00","1.204,00",4655
201819,MNEE82902P,200300542,"2.972,00","1.390,00",24460
201819,RIMM810022,570410149,"1.250,00","708,00",4415
201819,LERF049018,750292305,"15.306,00","10.490,00",16042
201819,PACT711005,820243923,"5.200,00","3.253,00",11113
201819,COIC82100L,132270367,"6.305,00","3.175,00",15000
201819,CSEE899016,780030040,"600,00","150,00",1300
201819,MOIC810007,360360154,"1.280,00","8.513,00",4096
201819,FGAA81602G,710370028,"7.000,00","5.150,00",9800
201819,ENEE816029,860163139,"2.045,00","950,00",1650
201819,BGMM884023,161230867,"14.950,00","11.704,00",9307
201819,FOIC80800L,400050353,"15.500,00","3.000,00",3874
201819,TOAA84703G,10710001,"956,00","466,00",1470
201819,COEE80602N,131260545,"1.940,00","1.325,00",3745
201819,TPAA04911G,810113838,"1.575,00","1.072,00",1196
201819,RMEE8D504P,581110879,"841,00","502,00",1457
201819,NAEE8EN028,630230023,"3.580,00","2.880,00",7140
201819,VREE85505T,230252571,"4.320,00","3.820,00",5250
201819,FOAA82101X,400120237,"7.952,00",-,9528
201819,PDEE87405D,280551874,"20.214,00","17.240,00",2381
201819,BOAA84701R,370320904,"7.946,00","7.536,00",5238
201819,PZIS01300D,760420493,"1.420,00","830,00",7650
201819,LCIC82400T,970421982,"6.800,00","4.849,97",18500
201819,CLIS00900V,850040565,"511.389,70",-,5099
201819,PCEE807065,330200031,"1.910,00","4.086,00",2556
201819,ENTE007019,860141498,"18.922,00","19.655,00",94229
201819,VEIC825004,270090636,"5.210,00","3.615,00",5833
201819,VVIS003008,1020371116,"1.570,00","888,00",10966
201819,GEEE83503R,100250166,"2.872,00","2.021,00",13772
201819,SAAA05301T,650501987,"1.200,00","929,00",1095
201819,PIIS00700E,500260303,"16.074,00","9.016,00",30043
201819,BLAA81301A,250703445,"330,00","236,00",2608
201819,MOEE82202L,360059101,"2.100,00","1.650,00",3198
201819,BGIS00700Q,161280681,"5.890,00","2.311,00",16490
201819,POEE012016,1000050018,"13.413,00","8.107,00",56714.45
201819,BLIC828007,250010709,"3.738,00","2.836,00",6620
201819,CHMM812013,690860858,"3.114,00","1.479,00",9342
201819,LTAA841021,590170695,"2.967,00","2.515,00",1921
201819,VAEE84701L,121190262,"4.500,00","800,00",37800
201819,BGMM81901V,160060700,"10.610,00","7.167,00",3018
201819,NUAA821057,910560166,"4.220,00","2.955,00",5489
201819,CAAA8AC05Q,1110201005,"3.200,00","2.100,00",5160
201819,GEEE80701E,100250004,"2.069,00","548,00",38025
201819,LTTF003011,590191000,"17.403,00",-,47264.11
201819,FREE856017,600190310,"10.365,00","6.855,00",15351
201819,SRRA004011,890175085,"25.200,00",-,600
201819,TPTD02101R,810062590,"6.944,00","3.607,00",20997
201819,CEMM8AK01A,611021567,-,-,-
201819,SIPM003018,520120011,"19.140,00","7.172,00",17128
201819,TSPM004011,320060109,"5.438,80",-,26326.49
201819,TRPS00901G,550232674,"10.170,00","6.640,00",1653
201819,SVEE81002C,90640142,"1.258,00","1.028,00",1725
201819,RCEE83501T,800850193,"1.760,00","751,00",6719
201819,VEEE83203B,270342697,"20.500,00","17.800,00",9720
201819,MIEE8FU03E,151460441,"9.156,00",-,56353
201819,VRSL03000N,230913914,"10.103,00","7.430,00",41790
201819,TPAA84401X,810124539,"3.052,00",-,6845
201819,SSAA85205P,900640129,"1.646,00","1.171,00",1663
201819,SRAA83302P,890024288,"2.990,00","2.180,00",3300
201819,CRAA816015,190213093,"34.722,00",-,6000
201819,SOEE80901V,140650150,"3.920,00","2.596,00",7300
201819,NAPS43000T,630050031,"13.700,00","2.800,00",18100
201819,FIMM84301Q,480170329,"5.120,00","4.490,00",25015
201819,SVAA80504T,90060091,"2.500,00","3.600,00",4680
201819,FIAA837018,480170618,"3.200,00","2.650,00",2100
201819,REMM81602N,350460192,"170,00",-,-
201819,BGTD013019,162460647,"11.956,00","6.850,00",36900
201819,MIPC13000E,151821638,"4.522,00","2.489,00",55912
201819,BSAA863019,170450001,"15.128,16","13.798,16",5205
201819,CBIC819008,700290217,"12.960,00","6.240,00",68544
201819,LUIC827008,460095023,"2.826,00",-,4985.4
201819,MIPS05401A,151461634,"19.500,00","10.408,00",28000
201819,CZMM82201X,790390140,"2.330,00","2.000,00",2310
201819,MOAA809043,360060014,"616,00","3.500,00",2452
201819,TAMM85501N,730210265,"9.600,00","7.042,00",5444
201819,SPEE810011,110020017,"3.430,00","2.865,00",3990
201819,CZAA871011,790181172,"7.090,00",-,7845
201819,VIAA87801R,240292285,"7.400,00","6.630,00",2350
201819,PZEE857037,760330404,"2.700,00",-,6741
201819,NAMM8F9014,630551261,"7.672,00","3.780,00",19902
201819,LUAA83102T,460185009,"1.850,00",-,6656
201819,UDMM82302V,300030002,"980,00",-,8300
201819,VRMM83501B,230592769,"4.764,00",-,14133
201819,RCPS030006,800630258,"12.000,00","8.400,00",24300
201819,TOAA885029,11560034,"2.150,00","67,00",-
201819,BIAA80901R,960410001,"1.738,00","1.115,00",2616
201819,MTCT701003,770200173,"12.180,00","10.230,00",12925
201819,MIAA242026,151920267,"5.831,00",-,17459
201819,NAMM0CP00L,630490148,"18.380,00","4.530,00",10085
201819,AREE81503V,510130009,"815,00",-,2105
201819,MEEE852031,830773059,"1.200,00","840,00",1500
201819,CTRH05000N,870312075,"6.300,00",-,2430
201819,MEIC827004,830053886,"7.667,00","5.410,00",13050
201819,AGTD014018,840011615,"10.000,00","5.314,00",9690
201819,CTEE8AT01D,870040981,"2.580,00","1.184,00",10510
201819,PGAA85105R,540390957,"1.400,00","200,00",5610
201819,LIEE805013,490130020,"4.278,00","3.000,00",10620
201819,CEEE8AJ01G,610570510,"8.365,00","5.892,00",6214
201819,CAEE876043,1110090443,"6.400,00","5.243,00",13048
201819,RMAA8GF023,580910421,"11.944,00","9.163,00",15456
201819,SSEE84003G,900700120,"5.445,00","1.341,00",5976
201819,TVEE82402B,260360919,"2.000,00","1.450,00",3850
201819,RMEE8C703P,580070634,"1.582,00","594,00",7345
201819,NAEE8EY02Q,630490014,"8.900,00","6.700,00",22000
201819,PCPM010008,330320169,"3.020,00","437,00",4800
201819,RMTF081019,580910697,"30.205,00","21.427,00",921
201819,NAEE18701L,630821282,-,-,-
201819,RCIC862004,800380657,"4.000,00","2.400,00",6480
201819,PSAA82003G,410150041,"1.608,00","1.298,00",1395
201819,TVIS02200R,260123728,"8.332,00","6.256,00",17446
201819,PGAA809038,540540473,"4.470,00","3.672,00",4790
201819,PTEE81503C,470160003,"1.574,00","1.020,00",3989
201819,TOEE86902L,12110001,"1.000,00","285,00",3300
201819,BAIS07300N,720350612,"1.400,00",-,7987
201819,PSEE808036,410490156,"3.712,00","2.057,00",13621
201819,CNTA02801P,40780004,"6.334,00","1.200,00",23600
201819,LERI049017,750292308,"15.306,00",-,2500
201819,CTEE853032,870120001,-,-,-
201819,MIMM8CS013,151461123,"5.828,00",-,19406
201819,PTMM815019,470220003,"13.531,00","11.215,00",17787
201819,RMIC85200L,580911138,"10.242,00","7.342,00",12969
201819,VTEE836042,560370000,"9.400,00","7.690,00",4570
201819,PAEE03207P,820533290,"11.800,00","10.070,00",11937
201819,PAMM88601P,820701882,"3.818,00","1.411,00",14956.5
201819,PAEE85801G,820494644,"1.045,00","524,00",4921
201819,MIIS073009,1080271569,"124.685,00","116.595,00",27726
201819,VTMM80803Q,560600144,"1.337,10","745,00",3007.87
201819,CNMM826036,41660003,"2.100,00",-,5200
201819,UDEE822013,301880002,"6.860,00","6.155,00",7296
201819,RGAA83301R,880092116,"584,00",-,2870
201819,PAAA812011,820084372,"420,00","231,00",604
201819,CSEE590004,780330124,"10.000,00",-,14000
201819,MITF098016,1080151541,"11.150,00","6.830,00",8200
201819,VAAA838091,121230056,"2.345,00","1.915,00",3655
201819,BGPC001014,161280633,"4.518,00","1.433,00",23740
201819,BNCT72100X,620431744,"2.529,00","979,00",11154
201819,TEAA81902T,670260086,"940,00","473,00",2522
201819,CREE81404T,191070171,"1.867,00","1.081,00",10414
201819,AQAA00404P,660491545,"1.900,00",-,2100
201819,FGEE871029,1100072204,"4.585,00","2.992,00",8620
201819,BSTD00101G,171431329,"2.146,00","1.491,00",6812
201819,MIEE82503X,150770810,"7.535,00","5.900,00",9956
201819,UDTF01601A,301290064,"13.500,00","12.030,00",13230
201819,VETN018019,270423828,"46.900,00","32.702,00",23459
201819,CRMM82701Q,190351909,"423,00","141,00",3356
201819,RMEE8FS019,580910339,"4.360,00","1.870,00",27350
201819,BSIC856009,170420784,"22.000,00","17.850,00",24825
201819,VIIC842005,241003456,"9.444,00","6.923,20",18855.81
201819,MIAA8GG02A,151890975,"11.785,00","6.311,00",11217
201819,PDMM837019,280391848,"17.530,00","14.977,00",15504
201819,PAEE8AB016,820534720,"3.940,00","2.257,00",5382
201819,FEEE82002T,380060066,"3.575,00",-,8000
201819,BSEE8AN015,171130820,"3.650,00","2.653,00",6822
201819,RMIC8DP005,580595294,"10.872,00",-,12190
201819,VIMM813016,240982814,"22.820,00","20.787,00",10635
201819,AVMM873055,640700001,"10.800,00",-,6100
201819,PCMM805039,330180147,"1.875,00","515,00",12594
201819,UDAA82902N,301180008,"5.150,00","3.500,00",9000
201819,RNEE01603L,990180306,"4.010,00","1.837,00",30000
201819,FGEE828023,710290084,"998,00","668,00",1823
201819,FOAA02304Q,400070857,"4.440,15","3.568,30",2808.05
201819,BLMM82501R,250500968,"2.541,00","1.531,00",7325
201819,BOMM85501X,370060010,"16.863,00","10.935,00",5922
201819,NAAA8B801N,630890006,"8.900,00","5.000,00",14000
201819,VAEE82003P,120450708,-,-,2755
201819,VAEE832031,120380362,"6.000,00","4.321,00",10887
201819,RMIC8E5004,580913293,"15.360,00","11.300,00",15800
201819,NUAA865084,910040083,"1.939,00","1.439,00",2000
201819,AQAA815033,660080906,"586,00",-,1758
201819,BOMM809049,370120342,"7.090,00","7.090,00",3841.2
201819,IMAA806033,80580049,"608,00","250,00",1253
201819,FEIS008008,380060016,"7.258,00",-,75000
201819,NUIS014007,910511144,"3.600,00",-,8630
201819,RMAA8C601G,580070634,"1.582,00","594,00",7345
201819,PCAA818037,330210036,"539,00","300,00",600
201819,RMPS160002,580070883,"9.084,00","6.405,00",17304
201819,SSIC848002,900520365,"3.080,00",-,13205
201819,PGAA82905G,540220149,"3.150,00","2.470,00",2532
201819,MNRC014011,200300329,"25.000,00","17.800,00",13240
201819,AVAA00506C,640080315,"5.500,00","3.824,00",1652
