ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SPERFICIEAREATOTALE,SPERFICIEAREALIBERA,VOLUME
201819,BSEE87803A,170290453,"18.923,00","15.001,00",30396
201819,SAIC86300E,650731805,"7.700,00","7.700,00",11522
201819,AGAA833036,840211120,"6.230,00","1.790,00",19826
201819,BAEE168012,720430267,"14.500,00","12.070,00",16997
201819,CTMM81301C,870072442,"64,00","4.783,00",17672.4
201819,SAAA872038,650970003,"1.788,00","1.344,00",1554
201819,VREE888022,230913617,"1.835,00",-,905
201819,VBEE81501Q,1030720013,"3.150,00","1.100,00",9400
201819,CARI010002,920091276,"15.893,00","12.664,00",22432
201819,VEEE83001N,270281047,"6.870,00","5.255,00",4663
201819,SAEE091052,650792040,"5.100,00","3.890,00",9428
201819,AQEE82003Q,660100175,"341,00",-,4337
201819,CSMM878014,781420731,"7.187,00","1.200,00",18134.2
201819,PGIC86000E,540180119,"2.000,00","660,00",14320
201819,ARIC83800B,510020028,"9.140,00","7.203,00",11563
201819,SARI04701C,651160541,"4.681,26","2.708,00",6625.41
201819,AGEE82801T,840100610,"3.347,00","2.241,00",9401
201819,FIAA20001C,480140010,"3.374,00","2.403,00",3990
201819,CSMM8AU015,781010001,"2.000,00","1.203,00",6060
201819,CRAA81901L,190670163,"3.659,00","3.182,00",4474
201819,BATD07851C,1100021439,"45.224,00","33.134,00",36996
201819,REAA85202L,350200001,"4.500,00",-,821
201819,NAEE32300A,630171509,"4.817,00",-,10492
201819,MOTA011013,360060603,"5.760,00","4.587,00",8076
201819,COMM83401Q,131590501,"14.000,00","11.000,00",24000
201819,REPS03000B,350330335,"19.551,72",-,31358
201819,PAEE84501D,820365008,"745,00","340,00",14300
201819,LTEE847047,590110147,"6.426,00","5.600,00",2617
201819,CTEE045012,870080852,"12.085,00","8.539,00",2748
201819,SVIC82000X,90560151,-,"1.320,00",-
201819,VVEE83503Q,1020460001,"1.500,00","1.024,00",3072
201819,BNIC85200P,620020001,-,-,-
201819,CNAA81603B,40350002,"495,00","312,00",1391
201819,VIEE864014,240211767,"8.220,00","5.337,00",1956
201819,NAIC86400X,630541371,"5.285,00","2.550,00",16840
201819,BNEE857032,620580053,"1.592,00","670,00",4426
201819,TAAA84802B,730120078,"5.319,00","2.982,00",20930
201819,BLAA828036,250670726,"1.400,00","1.182,00",935
201819,PEEE822028,680210150,"1.600,00","1.170,00",1500
201819,BOEE80602R,370170374,"622,00","132,00",2000
201819,VEMM86601B,270262261,"13.900,00","11.711,00",17907
201819,PZEE88203X,760630002,"3.820,00","2.570,00",7000
201819,PDMM82204P,280042674,"11.041,00","10.061,00",5800
201819,AOAA018060,70487500,"990,96","660,00",992.88
201819,MEPC002017,830493259,"6.000,00","4.464,00",29462
201819,BREE82201R,740171621,"3.234,00","950,00",11540
201819,LTEE818036,590080220,"1.788,00","1.168,00",4340
201819,GEEE81303X,100250064,"1.974,00","1.343,00",11503
201819,SAAA8A203L,650431663,-,-,-
201819,RMEE818028,580910529,"780,00","101,00",14680
201819,LCEE829013,970491851,"15.000,00","8.900,00",7920
201819,MERC02401Q,830603901,"1.115,00",-,4956
201819,KRRI040006,1010101120,"2.000,00","1.200,00",15000
201819,SAEE8AC01G,651160070,"3.903,00","2.243,00",18085
201819,IMMM81601Q,80650054,"1.677,00","1.235,00",4596
201819,TVIC84300N,260262817,"6.054,00","4.170,00",9217
201819,SVEE805032,90330023,"2.000,00","860,00",5600
201819,SRIC808004,890174921,"3.220,00","2.120,00",7848
201819,ISTD01301V,940230162,"24.480,00","2.130,00",72600
201819,GEEE86501E,100150234,"1.065,00",-,10578
201819,PRAA81901T,340420053,"2.106,00","1.800,00",2916
201819,PNMM82302V,930400002,"19.095,00","13.700,00",2900
201819,CSAA831105,780440827,"4.050,00","2.950,00",6930
201819,PVAA813036,180870061,"1.524,40","1.099,10",1828.79
201819,PEMM82401T,680120221,"2.950,00","2.531,00",17500
201819,AGEE84501G,840414358,"8.500,00","5.563,00",18000
201819,GEAA80502P,100480204,"2.000,00","2.500,00",5500
201819,CBMM83407N,700820200,"1.760,00","650,00",5300
201819,PAMM84301R,820052033,"2.925,00","3.334,00",6490
201819,MIIC8BN004,152101380,"13.740,00","11.060,00",18760
201819,PNEE815043,930050002,"8.798,00","6.948,00",13673
201819,MEMM84705E,830303447,"600,00","1.131,00",6000
201819,MEIC8AE00T,830483106,"2.600,00","850,00",11721
201819,FIRI017012,480170658,"57.200,00",-,2520
