"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
66,10639,190,37,62,112,401,127,0,0.03590937583952718,46,34,0.7389697891762661,1
67,10622,191,40,65,117,413,132,0,0.03698397062774245,48,35,0.7290147885857113,1
68,10618,181,42,66,119,408,141,0,0.03653622279931942,52,37,0.7114016535281676,1
69,10600,190,39,69,118,416,151,0,0.037252619324796274,56,39,0.6963042313872523,1
70,10582,194,37,70,124,425,160,0,0.038058565415957736,61,43,0.7048024913948533,1
71,10565,191,47,70,125,433,169,0,0.03877496194143459,64,46,0.718637712857366,1
72,10550,186,46,77,131,440,177,0,0.039401808901226826,69,48,0.6955513693667584,1
73,10533,181,52,77,140,450,184,0,0.04029730455807289,73,52,0.7122312012053142,1
74,10519,183,47,84,139,453,195,0,0.04056595325512671,78,56,0.7178566850403794,1
75,10505,188,46,82,141,457,205,0,0.04092415151786514,82,59,0.7194244604316546,1
76,10493,181,50,87,142,460,214,0,0.04119280021491896,86,60,0.6975933031042901,1
77,10480,185,42,91,140,458,229,0,0.04101370108354974,92,65,0.7064449516356918,1
78,10468,182,41,96,140,459,240,0,0.041103250649234355,96,68,0.7082595562962191,1
79,10454,177,43,98,141,459,254,0,0.041103250649234355,101,71,0.7029007029007028,1
80,10438,174,48,102,145,469,260,0,0.041998746306080414,105,73,0.6951718883915817,1
81,10422,170,44,105,155,474,271,0,0.042446494134503444,108,73,0.6758633459864827,1
82,10410,175,40,107,153,475,282,0,0.042536043700188056,111,75,0.6756148094766237,1
83,10396,171,45,106,157,479,292,0,0.04289424196292648,116,78,0.6723558313938454,1
84,10382,174,46,107,155,482,303,0,0.0431628906599803,120,78,0.6499458378468461,1
85,10363,181,45,103,160,489,315,0,0.04378973761977254,124,77,0.6209176679300056,1
86,10348,179,42,100,167,488,331,0,0.043700188054087936,129,82,0.6356096426633595,1
87,10331,187,37,102,164,490,346,0,0.04387928718545715,134,86,0.6417431534960079,1
88,10319,185,35,103,161,484,364,0,0.04334198979134951,140,88,0.628526533819013,1
89,10306,186,32,109,151,478,383,0,0.04280469239724188,142,86,0.6055911555524259,1
90,10298,174,33,113,154,474,395,0,0.042446494134503444,148,86,0.5810418214985474,1
91,10287,170,36,113,157,476,404,0,0.04262559326587266,151,88,0.5827428647109464,1
92,10271,178,33,110,152,473,423,0,0.04235694456881884,154,86,0.5584052983572496,1
93,10260,175,33,110,149,467,440,0,0.041819647174711205,160,89,0.5562152365477158,1
94,10247,170,35,107,147,459,461,0,0.041103250649234355,164,93,0.5670385952076094,1
95,10231,169,41,100,144,454,482,0,0.04065550282081132,169,93,0.5502632980297024,1
96,10219,164,45,98,144,451,497,0,0.0403868541237575,172,89,0.5174117783849776,1
97,10211,154,46,99,147,446,510,0,0.03993910629533447,180,92,0.5110827176267986,1
98,10198,157,38,105,148,448,521,0,0.04011820542670368,184,92,0.4999728275637194,1
99,10186,146,42,103,155,446,535,0,0.03993910629533447,189,96,0.5079096344108778,1
100,10177,140,42,100,153,435,555,0,0.038954061072803796,194,99,0.510282975104376,1
101,10166,139,38,100,156,433,568,0,0.03877496194143459,199,99,0.4974624390734134,1
102,10152,140,39,102,155,436,579,0,0.0390436106384884,208,106,0.5095908850536032,1
103,10133,146,34,106,160,446,588,0,0.03993910629533447,210,107,0.5094995476405886,1
104,10118,154,31,107,154,446,603,0,0.03993910629533447,215,109,0.5069531649690713,1
105,10103,157,29,107,155,448,616,0,0.04011820542670368,221,111,0.5022397176598344,1
106,10098,152,29,104,150,435,634,0,0.038954061072803796,224,112,0.4999776795678765,1
107,10083,154,35,100,151,440,644,0,0.039401808901226826,227,111,0.4889652438218581,1
108,10069,158,34,91,150,433,665,0,0.03877496194143459,232,111,0.4784276539804319,1
109,10048,168,31,93,151,443,676,0,0.039670457598280646,234,108,0.46151873851544806,1
110,10034,171,23,98,147,439,694,0,0.03931225933554222,239,108,0.45186393874733277,1
111,10021,163,30,92,146,431,715,0,0.03859586281006537,240,105,0.4374817715928503,1
112,10017,145,32,96,154,427,723,0,0.038237664547326945,245,105,0.4285539365740174,1
113,9999,148,35,94,154,431,737,0,0.03859586281006537,246,101,0.41055241656843217,1
114,9983,157,34,94,154,439,745,0,0.03931225933554222,251,103,0.4103422174415362,1
115,9973,159,31,92,153,435,759,0,0.038954061072803796,256,106,0.4140463263153783,1
116,9962,153,32,91,154,430,775,0,0.038506313244380766,259,106,0.40925060808462993,1
117,9952,151,34,84,151,420,795,0,0.0376108175875347,263,102,0.3878179536899738,1
118,9935,158,29,89,149,425,807,0,0.038058565415957736,271,105,0.38743957787535516,1
119,9917,166,33,81,143,423,827,0,0.03787946628458852,277,109,0.3934875997256417,1
120,9903,163,36,84,140,423,841,0,0.03787946628458852,279,105,0.3763305974696248,1
121,9891,155,39,82,142,418,858,0,0.03743171845616549,285,103,0.3613908283919863,1
122,9877,153,37,82,149,421,869,0,0.037700367153219304,289,104,0.3598491401681603,1
123,9864,157,37,80,146,420,883,0,0.0376108175875347,293,105,0.35834954438415073,1
124,9850,157,34,80,144,415,902,0,0.03716306975911167,297,102,0.3434227803777651,1
125,9839,155,33,79,139,406,922,0,0.03635712366795021,304,104,0.34209401006545836,1
126,9822,153,32,87,144,416,929,0,0.037252619324796274,306,103,0.33659030750629065,1
127,9805,149,35,86,147,417,945,0,0.03734216889048088,311,104,0.33439439246326486,1
128,9785,154,37,86,152,429,953,0,0.03841676367869616,316,103,0.3259390525616278,1
129,9772,153,39,87,152,431,964,0,0.03859586281006537,319,105,0.3291432870442933,1
130,9752,161,35,89,160,445,970,0,0.03984955672964986,321,102,0.31774711068191025,1
131,9731,176,34,85,152,447,989,0,0.04002865586101907,325,103,0.31691332574382325,1
132,9717,175,37,82,148,442,1008,0,0.03958090803259604,328,100,0.3048687540014024,1
133,9701,181,38,81,147,447,1019,0,0.04002865586101907,329,97,0.29482386553600193,1
134,9685,184,32,83,152,451,1031,0,0.0403868541237575,332,96,0.2891479172314087,1
135,9667,192,32,80,152,456,1044,0,0.040834601952180534,335,93,0.27760365362227996,1
136,9656,191,32,78,155,456,1055,0,0.040834601952180534,339,91,0.26842865992153625,1
137,9643,190,34,76,153,453,1071,0,0.04056595325512671,342,85,0.2485307447150668,1
138,9632,187,33,75,155,450,1085,0,0.04029730455807289,346,87,0.25143781971619317,1
139,9616,182,34,74,162,452,1099,0,0.04047640368944211,347,88,0.25359499726232676,1
140,9599,186,37,70,160,453,1115,0,0.04056595325512671,352,89,0.25283372631459333,1
141,9582,184,41,71,159,455,1130,0,0.04074505238649592,356,89,0.2499929777253448,1
142,9572,175,44,75,162,456,1139,0,0.040834601952180534,358,84,0.23463031758889416,1
143,9558,167,46,77,168,458,1151,0,0.04101370108354974,361,83,0.22991052879421622,1
144,9546,167,47,77,164,455,1166,0,0.04074505238649592,364,88,0.2417516002307629,1
145,9529,165,47,80,167,459,1179,0,0.041103250649234355,366,88,0.24043058932816044,1
146,9510,165,43,88,167,463,1194,0,0.04146144891197278,371,94,0.25336244306083394,1
147,9487,172,40,97,169,478,1202,0,0.04280469239724188,378,96,0.25396153540911615,1
148,9469,172,43,100,171,486,1212,0,0.04352108892271873,382,94,0.24606685688856314,1
149,9448,182,40,101,175,498,1221,0,0.044595683710934,385,95,0.24674683774447417,1
150,9437,185,37,96,172,490,1240,0,0.04387928718545715,390,97,0.24871157149816672,1
151,9419,187,40,96,164,487,1261,0,0.04361063848840333,395,98,0.2480949849370902,1
152,9404,189,42,94,158,483,1280,0,0.04325244022566491,400,98,0.24499387515312118,1
153,9386,189,45,94,158,486,1295,0,0.04352108892271873,402,94,0.23382502922812867,1
154,9371,193,42,96,156,487,1309,0,0.04361063848840333,407,94,0.23095255644824453,1
155,9360,192,42,95,151,480,1327,0,0.042983791528611086,412,96,0.2330040532996772,1
156,9337,192,44,99,161,496,1334,0,0.04441658457956479,415,95,0.22891014674345198,1
157,9329,187,47,93,161,488,1350,0,0.043700188054087936,418,97,0.23205186478792375,1
158,9315,186,42,101,163,492,1360,0,0.04405838631682636,422,98,0.2322219852610128,1
159,9297,191,41,102,164,498,1372,0,0.044595683710934,428,101,0.23597579495806173,1
160,9279,188,45,103,166,502,1386,0,0.04495388197367243,430,98,0.2279016767051929,1
161,9261,191,43,102,170,506,1400,0,0.045312080236410854,432,96,0.2222170783083725,1
162,9238,198,39,104,170,511,1418,0,0.045759828064833884,436,98,0.22476548703011398,1
163,9227,194,39,105,172,510,1430,0,0.04567027849914928,438,95,0.21689002534188717,1
164,9205,198,45,106,174,523,1439,0,0.04683442285304916,442,97,0.2194520485961856,1
165,9181,212,37,110,174,533,1453,0,0.047729918509895226,448,100,0.2232093033637642,1
166,9164,217,35,111,167,530,1473,0,0.047461269812841406,451,99,0.21950732799716194,1
167,9146,212,42,105,161,520,1501,0,0.046565774155995346,456,102,0.22367930527839303,1
168,9134,209,47,107,153,516,1517,0,0.04620757589325692,458,98,0.21396912731163076,1
169,9120,208,48,108,151,515,1532,0,0.04611802632757231,462,101,0.2186099867968226,1
170,9107,193,53,107,155,508,1552,0,0.04549117936778006,465,99,0.2128986473409174,1
171,9094,189,57,105,153,504,1569,0,0.04513298110504164,471,102,0.21655591176408145,1
172,9076,190,58,98,153,499,1592,0,0.04468523327661861,473,103,0.2177543815141329,1
173,9059,188,60,94,155,497,1611,0,0.0445061341452494,476,101,0.21218041637780719,1
174,9052,179,58,95,151,483,1632,0,0.04325244022566491,478,101,0.21129265078136442,1
175,9036,177,53,103,155,488,1643,0,0.043700188054087936,481,100,0.2078958857404212,1
176,9022,176,56,102,154,488,1657,0,0.043700188054087936,488,106,0.21720866375689024,1
177,9007,177,54,107,154,492,1668,0,0.04405838631682636,488,103,0.21106124874490279,1
178,8993,179,54,107,157,497,1677,0,0.0445061341452494,492,104,0.21137781752403406,1
179,8971,186,51,111,163,511,1685,0,0.045759828064833884,494,102,0.20647355316693994,1
180,8949,191,53,112,164,520,1698,0,0.046565774155995346,497,103,0.20723929095994045,1
181,8931,195,49,113,168,525,1711,0,0.047013521984418376,501,104,0.20758068701223528,1
182,8913,193,47,112,170,522,1732,0,0.046744873287364555,505,103,0.20395635729985545,1
183,8902,195,41,115,168,519,1746,0,0.046476224590310734,508,103,0.20275191433239503,1
184,8889,194,43,112,169,518,1760,0,0.04638667502462613,513,107,0.2085729323015146,1
185,8867,201,44,112,172,529,1771,0,0.0473717202471568,516,105,0.20348442859634502,1
186,8856,188,52,110,173,523,1788,0,0.04683442285304916,518,104,0.20076832493581206,1
187,8846,179,53,106,176,514,1807,0,0.046028476761887704,523,105,0.200760979713581,1
188,8831,177,49,109,182,517,1819,0,0.046297125458941525,528,107,0.20264767712732715,1
189,8816,177,46,107,181,511,1840,0,0.045759828064833884,532,105,0.1973647111896393,1
190,8795,186,41,105,179,511,1861,0,0.045759828064833884,533,102,0.191366015646986,1
191,8778,193,42,101,176,512,1877,0,0.045849377630518495,535,101,0.18878151810246538,1
192,8764,195,42,99,173,509,1894,0,0.045580728933464675,538,102,0.1895875541346815,1
193,8751,195,38,101,169,503,1913,0,0.04504343153935703,542,102,0.18818840980793713,1
194,8745,186,42,99,165,492,1930,0,0.04405838631682636,545,103,0.1889873580301279,1
195,8733,187,39,96,165,487,1947,0,0.04361063848840333,548,102,0.18612799036513933,1
196,8717,182,41,100,164,487,1963,0,0.04361063848840333,551,102,0.18511460772036806,1
197,8697,186,41,102,161,490,1980,0,0.04387928718545715,554,102,0.1841122001407917,1
198,8677,190,41,101,162,494,1996,0,0.04423748544819558,557,103,0.1849158901994578,1
199,8658,192,44,94,167,497,2012,0,0.0445061341452494,560,103,0.18392528704844557,1
200,8647,188,41,94,172,495,2025,0,0.04432703501388018,563,103,0.18294524075948917,1
201,8625,194,38,95,172,499,2043,0,0.04468523327661861,564,98,0.17375578447190654,1
202,8608,199,36,96,178,509,2050,0,0.045580728933464675,567,95,0.16754554593393414,1
203,8597,196,36,95,176,503,2067,0,0.04504343153935703,570,97,0.17017245311485762,1
204,8585,187,38,91,175,491,2091,0,0.04396883675114176,573,96,0.16753634317027627,1
205,8570,194,38,85,171,488,2109,0,0.043700188054087936,576,94,0.16319161125674903,1
206,8553,196,42,83,165,486,2128,0,0.04352108892271873,576,89,0.15451120640266663,1
207,8538,191,42,87,167,487,2142,0,0.04361063848840333,579,90,0.15543772991830884,1
208,8524,188,40,89,169,486,2157,0,0.04352108892271873,583,88,0.15094080719027117,1
209,8513,182,40,88,172,482,2172,0,0.0431628906599803,586,84,0.14334226378389447,1
210,8495,185,44,87,175,491,2181,0,0.04396883675114176,587,82,0.1396909763036405,1
211,8486,180,40,90,174,484,2197,0,0.04334198979134951,591,85,0.14382159354325647,1
212,8474,182,39,91,166,478,2215,0,0.04280469239724188,596,86,0.14429288099192966,1
213,8464,174,43,93,168,478,2225,0,0.04280469239724188,598,85,0.1421380913362653,1
214,8454,166,45,92,170,473,2240,0,0.04235694456881884,601,85,0.14142859519808323,1
215,8444,156,42,96,177,471,2252,0,0.04217784543744963,606,84,0.13861157406643454,1
216,8433,155,40,99,176,470,2264,0,0.04208829587176502,611,85,0.13911392612232207,1
217,8423,149,39,100,180,468,2276,0,0.04190919674039581,617,87,0.1410025769436476,1
218,8403,153,36,100,182,471,2293,0,0.04217784543744963,619,87,0.14054700247168866,1
219,8393,148,37,97,184,466,2308,0,0.041730097609026594,620,88,0.14193319462589313,1
220,8376,152,38,95,186,471,2320,0,0.04217784543744963,626,89,0.1421702528713599,1
221,8357,158,39,91,182,470,2340,0,0.04208829587176502,630,89,0.14126759892700116,1
222,8338,162,38,94,182,476,2353,0,0.04262559326587266,634,90,0.1419535969464204,1
223,8325,163,33,95,174,465,2377,0,0.04164054804334199,639,89,0.13927794557205678,1
224,8314,165,34,96,168,463,2390,0,0.04146144891197278,645,92,0.14263344754344895,1
225,8299,169,29,103,161,462,2406,0,0.04137189934628817,649,90,0.13867274772345572,1
226,8287,168,32,101,157,458,2422,0,0.04101370108354974,656,96,0.14633923263364887,1
227,8280,165,30,100,155,450,2437,0,0.04029730455807289,661,93,0.14069378678083538,1
228,8268,157,29,98,160,444,2455,0,0.03976000716396526,665,95,0.1428549946617344,1
