"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
65,11112,12,5,5,6,28,27,0,0.00250738783916898,26,7,0.2691272587466359,1
66,11110,12,6,4,5,27,30,0,0.0024178382734843734,29,6,0.20682523267838676,1
67,11110,11,6,4,6,27,30,0,0.0024178382734843734,33,6,0.18176310209027569,1
68,11109,11,7,4,5,27,31,0,0.0024178382734843734,37,7,0.18913807079167794,1
69,11109,11,7,1,5,24,34,0,0.0021491895764305545,42,8,0.19043084979766722,1
70,11108,11,6,3,4,24,35,0,0.0021491895764305545,46,7,0.15214083894805477,1
71,11108,9,8,2,3,22,37,0,0.0019700904450613414,52,8,0.15381657373582003,1
72,11107,8,6,4,5,23,37,0,0.0020596400107459477,56,9,0.16068559185859668,1
73,11106,9,3,7,5,24,37,0,0.0021491895764305545,61,10,0.163907556138338,1
74,11105,8,3,7,7,25,37,0,0.002238739142115161,66,12,0.1817906377821542,1
75,11103,10,2,8,7,27,37,0,0.0024178382734843734,69,10,0.14490653528474134,1
76,11103,10,2,8,7,27,37,0,0.0024178382734843734,74,11,0.14862856370760708,1
77,11102,8,2,7,10,27,38,0,0.0024178382734843734,77,10,0.1298532658096351,1
78,11099,10,3,7,10,30,38,0,0.002686486970538193,84,10,0.11903344839900011,1
79,11099,10,3,7,10,30,38,0,0.002686486970538193,90,10,0.11109876680368848,1
80,11098,10,4,6,10,30,39,0,0.002686486970538193,97,12,0.12369858777445623,1
81,11098,10,3,7,10,30,39,0,0.002686486970538193,104,13,0.12498798192481492,1
82,11098,8,3,6,11,28,41,0,0.00250738783916898,111,12,0.10809836951625978,1
83,11097,9,3,6,11,29,41,0,0.0025969374048535865,117,12,0.10255533715067087,1
84,11095,10,3,5,12,30,42,0,0.002686486970538193,123,13,0.10568246484025688,1
85,11094,11,2,5,12,30,43,0,0.002686486970538193,131,14,0.10686207159758798,1
86,11093,11,3,5,11,30,44,0,0.002686486970538193,139,14,0.10071217897992951,1
87,11092,11,2,6,12,31,44,0,0.002776036536222799,146,12,0.08218615163344976,1
88,11092,11,0,8,12,31,44,0,0.002776036536222799,151,11,0.0728428580888683,1
89,11091,11,1,8,11,31,45,0,0.002776036536222799,157,14,0.08916629514043692,1
90,11090,12,0,9,11,32,45,0,0.002865586101907406,164,13,0.07926345954514968,1
91,11087,14,1,9,11,35,45,0,0.003134234798961225,174,13,0.07470835009482214,1
92,11085,15,1,8,10,34,48,0,0.0030446852332766186,182,14,0.0769188506126037,1
93,11085,15,1,6,9,31,51,0,0.002776036536222799,192,14,0.07291286912139994,1
94,11084,14,2,6,9,31,52,0,0.002776036536222799,199,12,0.06029847746344405,1
95,11084,13,3,6,8,30,53,0,0.002686486970538193,208,12,0.05768953415701168,1
96,11084,12,3,7,7,29,54,0,0.0025969374048535865,217,12,0.05529699092207733,1
97,11084,11,3,7,8,29,54,0,0.0025969374048535865,226,13,0.057519578779700015,1
98,11082,12,4,6,7,29,56,0,0.0025969374048535865,236,14,0.059319520359306814,1
99,11081,12,3,7,8,30,56,0,0.002686486970538193,244,12,0.04917831236424737,1
100,11080,12,1,8,9,30,57,0,0.002686486970538193,252,12,0.04761715804928376,1
101,11079,11,2,8,9,30,58,0,0.002686486970538193,261,15,0.05746906248802728,1
102,11079,11,2,8,9,30,58,0,0.002686486970538193,269,14,0.052042674993494666,1
