type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,USA,USA-AZ,1584144000000.0,1f86ed26-55b9-4dd5-bbee-58f80e6323cc,2020-03-14,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,USA,USA-AZ,1589500800000.0,92dc02e6-af20-43e0-af70-0c219f4e3905,2020-05-15,na,1
confinement,SAU,,1586304000000.0,bac86f64-5ae9-414e-8179-9d5627d1fd2a,2020-04-08,na,1
entertainment/cultural sector closure,USA,USA-AZ,1584662400000.0,2f5e149d-ea0a-4386-8b8d-7bc3080b5bc3,2020-03-20,Gyms and pools,1
entertainment/cultural sector closure,USA,USA-AZ,1584403200000.0,d66e8656-1a34-46cc-9a98-f8213c465583,2020-03-17,Gyms and pools,1
confinement,BOL,,1584489600000.0,688f7d30-3b76-4463-aa93-99282600671a,2020-03-18,na,1
school closure,BOL,,1583971200000.0,24b1b13a-247d-433d-9c40-f29f232e18b2,2020-03-12,Only schools (primary/secondary) closed,1
confinement,BOL,,1584835200000.0,3e66a3ad-efc4-4943-a849-67641fc9be53,2020-03-22,na,1
economic impact,BOL,,1584835200000.0,d85f0c7f-b6a5-4f85-be94-197522fb7be7,2020-03-22,na,1
confinement,BOL,,1584316800000.0,111268de-0d09-4b9c-96fa-b6446cce085d,2020-03-16,na,1
school closure,COL,,1584144000000.0,f9474a1b-1397-4dfa-baf1-71f2a75043fe,2020-03-14,Only schools (primary/secondary) closed,1
school closure,BOL,,1583971200000.0,71759a2d-0754-4e5e-9230-89e011a8b6d6,2020-03-12,Universities closed,1
school closure,COL,,1584144000000.0,90396c8b-c148-46a0-b2ec-62d71ffaa4bb,2020-03-14,Universities closed,1
mass gatherings,USA,USA-AZ,1583971200000.0,504eadc6-4a93-4596-a0b1-4716362c393b,2020-03-12,50,1
confinement,COL,,1585008000000.0,838ef988-9b9e-4c21-a399-81f9826332a0,2020-03-24,Mandatory/advisedfor all the population,1
confinement,COL,,1586131200000.0,836bd5e4-a82f-4829-abeb-0e3e3de559a1,2020-04-06,Mandatory/advisedfor all the population,1
school closure,USA,USA-AZ,1584316800000.0,651ff934-05df-4cd1-904d-3a1d10f04ce9,2020-03-16,Universities closed,1
confinement,COL,,1587340800000.0,6902d7a7-8146-4479-b2b0-76bebc1a58a3,2020-04-20,Mandatory/advisedfor all the population,1
confinement,COL,,1588636800000.0,6282caea-1f07-4a7d-8e9d-733fb86f5ee1,2020-05-05,Mandatory/advisedfor all the population,1
confinement,USA,USA-AZ,1585612800000.0,84af557d-3d29-4b19-a1df-e315bc195995,2020-03-31,Mandatory/advisedfor all the population,1
confinement,COL,,1584662400000.0,21fef30b-d73a-46b7-b38e-e7d2c6fda230,2020-03-20,Mandatory/advised for people at risk,1
entertainment/cultural sector closure,USA,USA-AZ,1584403200000.0,3507606e-3a1f-4104-9ac8-b637ac52b7a0,2020-03-17,"Bars, restaurants, night clubs",1
entertainment/cultural sector closure,USA,USA-AZ,1584662400000.0,dd0e26fc-bc1a-4f86-828f-872446481405,2020-03-20,"Bars, restaurants, night clubs",1
school closure,USA,USA-AZ,1584489600000.0,d17aeb89-bda5-488d-94ae-6b4fec1af8b2,2020-03-18,Universities closed,1
confinement,BOL,,1584662400000.0,d93fb549-9cda-440f-8ed1-373fe33ec946,2020-03-20,na,1
confinement,BOL,,1584748800000.0,237eecf1-becd-488d-8c13-a62a5372793a,2020-03-21,na,1
confinement,BOL,,1585699200000.0,1158a8ec-ffdf-42fc-9616-a5e932368e3e,2020-04-01,na,1
confinement,BOL,,1586822400000.0,ab3156c9-9694-4c98-833b-6c47dad83b3c,2020-04-14,na,1
entertainment/cultural sector closure,USA,USA-CO,1580515200000.0,cba0c74e-c01c-11ea-bb14-eeee0af5197a,2020-02-01,na,1
international flight restrictions,NGA,,1584489600000.0,16c40e3e-c0e5-11ea-b5d4-eeee0af47818,2020-03-18,NOR,1
confinement,LKA,,1585180800000.0,40348540-c0eb-11ea-af88-eeee0af72e81,2020-03-26,Mandatory/advisedfor all the population,1
confinement,USA,USA-ME,1585526400000.0,13ceaa44-c0f0-11ea-9e67-eeee0af72e81,2020-03-30,Mandatory/advisedfor all the population,1
freedom of movement (nationality dependent),ALB,,1583798400000.0,b83000e4-c1c0-11ea-b323-eeee0af727ef,2020-03-10,na,1
school closure,BRN,,1591056000000.0,4c3c9c2c-c2b9-11ea-9dd3-eeee0af50e94,2020-06-02,All schools (general) closed,0
freedom of movement (nationality dependent),GHA,,1586044800000.0,239ec102-c2c6-11ea-a02c-eeee0af50e94,2020-04-05,na,1
introduction of travel quarantine policies,MEX,,1583020800000.0,c643284e-c2e9-11ea-ae7a-eeee0af715ab,2020-03-01,na,1
school closure,GBR,,1584662400000.0,11ff5014-c4d4-11ea-b750-eeee0af715ab,2020-03-20,Universities closed,1
confinement,LCA,,1594339200000.0,7e5f0f96-c4da-11ea-97d0-eeee0af510b7,2020-07-10,na,0
entertainment/cultural sector closure,MNE,,1593561600000.0,973b8f28-c4dd-11ea-8fb7-eeee0af5624e,2020-07-01,"Museums, theaters, cinema, libraries, festivities",0
entertainment/cultural sector closure,CHN,CHN-TB,1580860800000.0,bee9a972-d58d-11ea-ac9d-eeee0af5d92b,2020-02-05,na,1
entertainment/cultural sector closure,SAU,,1584230400000.0,84bd176f-ba23-4788-b644-5a1d0e12d67a,2020-03-15,"Bars, restaurants, night clubs",1
confinement,SLV,,1587859200000.0,0e8ebd2e-fd79-4831-9e69-43c9c71f0382,2020-04-26,na,1
entertainment/cultural sector closure,USA,USA-MN,1584316800000.0,69bd2920-0006-407a-83e1-b3bf065add94,2020-03-16,"Bars, restaurants, night clubs",1
public services closure,USA,USA-MN,1584316800000.0,2ca45b12-669a-4b43-bd47-1aee85ade90c,2020-03-16,Government/parliament system,1
entertainment/cultural sector closure,USA,USA-MN,1585267200000.0,9f5c2535-2d1a-49d8-b683-0756e32f5cc5,2020-03-27,"Bars, restaurants, night clubs",1
entertainment/cultural sector closure,SAU,,1584144000000.0,03209c50-c3b6-464f-8472-76d73540ae19,2020-03-14,Parks and public gardens,1
school closure,USA,USA-MN,1584144000000.0,cba8cd60-4557-443e-9388-6a7896f3085e,2020-03-14,All schools (general) closed,1
school closure,USA,USA-MN,1584057600000.0,2d002771-9426-4eef-a916-7ecaaac790c7,2020-03-13,All schools (general) closed,1
entertainment/cultural sector closure,USA,USA-MN,1585612800000.0,fb0a3fe5-5b7a-486f-bc8e-399c2c584381,2020-03-31,"Museums, theaters, cinema, libraries, festivities",1
school closure,SAU,,1583625600000.0,a9cedfd7-9e5f-412d-9c7d-89e10f98c002,2020-03-08,Only schools (primary/secondary) closed,1
school closure,USA,USA-MN,1583884800000.0,cc5618ed-172d-4801-bc74-c5f78198f901,2020-03-11,Universities closed,1
