type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,ITA,,1582416000000.0,7d40103c-c12a-11ea-8d21-eeee0af72e81,2020-02-23,"Museums, theaters, cinema, libraries, festivities",1
public services closure,ITA,,1582502400000.0,a206099e-c12a-11ea-890b-eeee0af49f8d,2020-02-24,Legal system,1
freedom of movement (nationality dependent),ITA,,1583798400000.0,130e3429-4392-467a-b5fe-7ff3828604f0,2020-03-10,AUT,1
freedom of movement (nationality dependent),ITA,,1583798400000.0,052f8f1d-dca4-4716-9915-fc409497d1a4,2020-03-10,DEU,1
freedom of movement (nationality dependent),ITA,,1582588800000.0,80b6bd27-e243-4da8-8029-6c4cc4117d29,2020-02-25,USA,1
entertainment/cultural sector closure,ITA,,1583020800000.0,d4bdae27-9a7f-4e3c-9d41-17fd1646c120,2020-03-01,"Bars, restaurants, night clubs",1
entertainment/cultural sector closure,ITA,,1580947200000.0,5a1a4325-a148-434a-a12d-99880dd63909,2020-02-06,"Bars, restaurants, night clubs",1
entertainment/cultural sector closure,ITA,,1583712000000.0,bd9c2b95-f3a8-4228-9ed2-af4d63a0ce4a,2020-03-09,"Bars, restaurants, night clubs",1
entertainment/cultural sector closure,ITA,,1583020800000.0,eec69b02-a180-4051-b7e1-230d04dd7383,2020-03-01,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,ITA,,1580947200000.0,e9a0d7eb-9b40-4b9f-b1c5-fdebec17c900,2020-02-06,"Museums, theaters, cinema, libraries, festivities",1
school closure,ITA,,1583280000000.0,6d472bdf-45ea-4b07-8e76-29e751e83f28,2020-03-04,Only schools (primary/secondary) closed,1
school closure,ITA,,1580947200000.0,1794740e-635b-4d7f-b49c-678c0d9ffd7f,2020-02-06,Only schools (primary/secondary) closed,1
school closure,ITA,,1583712000000.0,7b04c773-7dc5-41bf-a8f9-3a85d8aa98a1,2020-03-09,Only schools (primary/secondary) closed,1
confinement,ITA,,1583625600000.0,922e3de7-02d4-4e1e-9ce2-ce2ce719071f,2020-03-08,na,1
entertainment/cultural sector closure,ITA,,1582675200000.0,ca356fde-48d4-4dfc-a82c-c3c23e58138f,2020-02-26,na,1
confinement,ITA,,1583280000000.0,216b385c-0314-4846-9477-55cee310c1ba,2020-03-04,na,1
public transportation,ITA,,1582329600000.0,c897c3c6-f66a-4655-ab12-24bb3c9ff97a,2020-02-22,na,1
public transportation,ITA,,1589068800000.0,1a868c43-84fa-41e1-a553-3b7ad17a7db2,2020-05-10,na,1
confinement,ITA,,1582588800000.0,e51edb3d-4de4-432a-8cc7-cd4ea9426839,2020-02-25,na,1
entertainment/cultural sector closure,ITA,,1582588800000.0,4177449b-fa61-4ab4-a0db-23ba5808ac8d,2020-02-25,na,1
entertainment/cultural sector closure,ITA,,1582934400000.0,1cdd48bc-1c45-4ec1-b22e-950444ad1285,2020-02-29,na,1
confinement,ITA,,1583712000000.0,9ea7937a-d41c-4e92-982e-1852517e5b45,2020-03-09,na,1
confinement,ITA,,1582329600000.0,f06bc2ae-3615-4b95-8bc0-345e6c95df8f,2020-02-22,na,1
entertainment/cultural sector closure,ITA,,1583712000000.0,772d3c8c-bf9d-4e8d-b4b4-b2c813977dd8,2020-03-09,na,1
economic impact,ITA,,1583884800000.0,55a7fc5b-ebbe-4bef-a64f-406d6b2208c7,2020-03-11,na,1
work restrictions,ITA,,1583884800000.0,97755873-e58d-466d-9b94-8a27fcfa2816,2020-03-11,na,1
public transportation,ITA,,1583884800000.0,2dceceb5-d9b6-4173-9e58-4883e2493f97,2020-03-11,na,1
economic impact,ITA,,1586131200000.0,ed467efe-abaf-47e0-9b09-8e3f7a84f4cf,2020-04-06,na,1
confinement,ITA,,1586476800000.0,5bfb16bf-87fb-4ee0-963e-734a45adc0e4,2020-04-10,na,1
confinement,ITA,,1584230400000.0,61e4c546-8422-4217-a4ce-8f82b4fc6bb4,2020-03-15,na,1
confinement,ITA,,1584316800000.0,ec21a8f3-7480-4114-8fe9-f7961c123472,2020-03-16,na,1
public transportation,ITA,,1582416000000.0,86278df2-c78c-4b1a-baf9-7c977feb53a3,2020-02-23,na,1
confinement,ITA,,1584403200000.0,0c2ef0b5-fc90-4913-9c15-107a69705612,2020-03-17,na,1
introduction of travel quarantine policies,ITA,,1583625600000.0,af68474e-e35c-4fb4-996a-b79ea21c27b1,2020-03-08,na,1
work restrictions,ITA,,1583971200000.0,c9e06a1b-8879-408c-90df-c1a60d7ea8a2,2020-03-12,na,1
confinement,ITA,,1580947200000.0,65bda5c1-bb17-4b02-8004-fd6aed796d90,2020-02-06,na,1
freedom of movement (nationality dependent),ITA,,1585008000000.0,6c3693d2-1666-48d6-a3eb-f718ecabd826,2020-03-24,na,1
freedom of movement (nationality dependent),ITA,,1586304000000.0,fc1426d2-c7fe-4acd-9a6b-944d2b068b92,2020-04-08,na,1
freedom of movement (nationality dependent),ITA,,1587859200000.0,39b95f23-a776-4692-8896-7e74e01d9c00,2020-04-26,na,1
freedom of movement (nationality dependent),ITA,,1584316800000.0,dad26635-3c56-493b-920c-b649eb6fe489,2020-03-16,na,1
freedom of movement (nationality dependent),ITA,,1583539200000.0,58d71e01-be5f-4dcd-9a3a-a6b174eb656a,2020-03-07,na,1
freedom of movement (nationality dependent),ITA,,1586131200000.0,841defc6-c0e6-11ea-8517-eeee0af72e81,2020-04-06,other,1
entertainment/cultural sector closure,ITA,,1582416000000.0,6b73091c-d0a3-11ea-a4e6-eeee0af63fc2,2020-02-23,na,1
entertainment/cultural sector closure,ITA,,1585353600000.0,e8f249a2-d0a3-11ea-a3d3-eeee0af63fc2,2020-03-28,na,1
work restrictions,ITA,,1589760000000.0,5d2d5aa0-d0a4-11ea-a0a2-eeee0af7bc4e,2020-05-18,Mandatory work from home enforcement for non-essential workers,0
confinement,ITA,,1589760000000.0,6cc6dc3e-d0a4-11ea-b3a9-eeee0af63fc2,2020-05-18,Mandatory/advisedfor all the population,0
entertainment/cultural sector closure,ITA,,1590364800000.0,864b28d6-d0a4-11ea-ba54-eeee0af456f2,2020-05-25,"Museums, theaters, cinema, libraries, festivities",0
entertainment/cultural sector closure,ITA,,1582329600000.0,c2a51374-d0a3-11ea-9a3e-eeee0af63fc2,2020-02-22,"Museums, theaters, cinema, libraries, festivities",1
mask wearing,ITA,,1588550400000.0,84e21cd4-3b38-4b1d-a108-8deb114746e6,2020-05-04,Mandatory,1
entertainment/cultural sector closure,ITA,,1597622400000.0,87557b76-e6c7-11ea-913c-eeee0af7c302,2020-08-17,"Bars, restaurants, night clubs",1
mask wearing,ITA,,1597622400000.0,931bc992-e6c7-11ea-898d-eeee0af635f0,2020-08-17,Mandatory,1
