source,target,weight
0,0,5.13817987067635
0,1,0.886623373552212
0,2,0.0569733613246794
0,3,4.15791608771954e-09
0,4,0.00380635887791645
0,5,0.0814073344480633
0,6,0.169548739535922
0,7,0.178804125160389
0,8,0.134257657686703
0,9,0.30950392797803805
0,10,0.11099453984231598
0,11,0.132611038714753
0,12,0.00352965072430993
0,13,0.00202549575677892
0,14,8.096302949258058e-53
0,15,8.280580058808368e-113
1,0,0.6933906548611429
1,1,3.37659364198239
1,2,0.0639961279932679
1,3,4.01805407636947e-05
1,4,0.009394501812912941
1,5,0.0275478903255712
1,6,0.0777798118262465
1,7,0.0862824563970405
1,8,0.09592548169239698
1,9,0.0709714424513479
1,10,0.0681061596030171
1,11,0.0243644362218761
1,12,0.00795512100740655
1,13,0.00334467532122965
1,14,0.000463587581961887
1,15,6.171355148045129e-43
2,0,1.4435752842201298e-22
2,1,0.7852904953249229
2,2,4.13719307766481
2,3,0.0742256288662873
2,4,0.0011172468636329099
2,5,0.0420468292918998
2,6,0.0456879064808921
2,7,0.0962398112707953
2,8,0.151789173713302
2,9,0.14534332087789903
2,10,0.0932725827342741
2,11,0.0492196444611183
2,12,0.0041039172461465705
2,13,0.00235187672173242
2,14,1.19977800787075e-34
2,15,1.4754724899475498e-57
3,0,1.1527699835929301e-14
3,1,1.5007887288180898e-24
3,2,1.29019462550321
3,3,4.35635283455474
3,4,0.0242392774859235
3,5,0.011702368562671999
3,6,0.0258153700935844
3,7,0.083597646684662
3,8,0.10070373448127198
3,9,0.15376112079808
3,10,0.0828935357227279
3,11,0.0651755129881089
3,12,0.0136966180725689
3,13,0.00106917150897992
3,14,1.8123510515136197e-89
3,15,1.2417320874169098e-67
4,0,0.17205181898556798
4,1,0.0116844306057605
4,2,6.65272282559288e-26
4,3,0.3753998671905539
4,4,0.179592965200952
4,5,0.0119755985570483
4,6,6.79090053641098e-06
4,7,0.0146890538196657
4,8,0.00952714862962813
4,9,0.00882660696841836
4,10,0.0133960160179509
4,11,0.0121505864011483
4,12,0.00221916620756278
4,13,0.00183513217869615
4,14,1.0486675213760498e-62
4,15,1.7918025220492995e-117
5,0,0.0395904041521695
5,1,1.0791441677533598e-24
5,2,6.873997142446579e-29
5,3,0.0149728189400039
5,4,0.41833219767381197
5,5,0.0805856676042108
5,6,0.0429662010859766
5,7,0.00949153532838865
5,8,0.0291524287248124
5,9,0.0105256748165705
5,10,2.5568736032721496e-31
5,11,0.0215234330299353
5,12,0.0162999937955636
5,13,0.0122757062556144
5,14,2.9780369724011194e-61
5,15,0.0115121064476292
6,0,0.0449271732800369
6,1,0.0455736473642699
6,2,0.417609558373725
6,3,0.36818918978426896
6,4,0.10785335111414698
6,5,0.243759935337369
6,6,0.0740294047794056
6,7,0.0842859487506966
6,8,0.0716913041490851
6,9,0.0311547340628346
6,10,0.0283790080632498
6,11,0.0051873763670035895
6,12,0.0036793131880450704
6,13,0.0025951393643278103
6,14,9.75229871491602e-46
6,15,9.513066471126199e-64
7,0,0.0562262608901795
7,1,0.103185290218333
7,2,0.0544060908927112
7,3,0.0129870096798166
7,4,1.63429414433682e-27
7,5,0.0288683069334957
7,6,0.0477886005599756
7,7,0.10228725240011699
7,8,0.148977681298817
7,9,0.0228960242843464
7,10,0.007391012338216491
7,11,0.0063302228584562
7,12,3.09970612501934e-31
7,13,1.4369988788022496e-83
7,14,5.794041804158598e-119
7,15,1.4281371742027298e-109
8,0,0.0279289042547958
8,1,0.371848187116769
8,2,0.0475701736941856
8,3,0.805484893645641
8,4,7.834693892087889e-24
8,5,0.0235126788497492
8,6,0.00630103103115395
8,7,0.0718316336733674
8,8,0.15166270660495498
8,9,0.0957042641845045
8,10,0.0835363131049701
8,11,0.0236668601320305
8,12,0.0344745487763422
8,13,3.2154369499128e-57
8,14,2.682247269556639e-137
8,15,7.4033385833966775e-115
9,0,0.35297877392995497
9,1,0.44763252897153005
9,2,0.0430149324098609
9,3,0.777929897258558
9,4,1.03561816132587e-10
9,5,0.0305413067915414
9,6,0.0694831172896689
9,7,0.1388892135045
9,8,0.0791540862928681
9,9,0.0175396298667845
9,10,0.0463941054329743
9,11,0.0306371864524686
9,12,0.00320448921675989
9,13,6.515832863365309e-36
9,14,5.5216020605095385e-130
9,15,1.3910794168257895e-130
10,0,0.13463638949943
10,1,0.632642796704335
10,2,1.17783842899016
10,3,0.7233461486003129
10,4,8.95731968602327e-10
10,5,0.00366644993932784
10,6,0.0450375314121483
10,7,0.0319890654386284
10,8,0.0601123537034196
10,9,0.129549748868694
10,10,0.0915162624639172
10,11,0.0439260681029711
10,12,0.0120571799972562
10,13,1.3125987204509596e-49
10,14,6.253142815593018e-139
10,15,1.8836956777663995e-127
11,0,0.23927776846664603
11,1,0.927766532984743
11,2,1.76006429241126
11,3,0.0152661787421246
11,4,1.0124997283061999e-27
11,5,0.0242540356119825
11,6,1.05128702414949e-19
11,7,0.011427958855987
11,8,0.0742750441174026
11,9,0.11087218440796001
11,10,0.063697282795688
11,11,0.0396578124491002
11,12,0.0296160770725253
11,13,1.5825341772001596e-61
11,14,3.0158052002880197e-77
11,15,6.128761224743169e-135
12,0,0.044409779153079
12,1,0.0322019694873712
12,2,0.0815377967371732
12,3,0.43261678896106803
12,4,0.0194524840923967
12,5,9.805621728621558e-31
12,6,0.00536507599745322
12,7,0.00585291722640485
12,8,0.00570731118283168
12,9,0.00560123379117945
12,10,0.0145504282079644
12,11,0.0131926840103492
12,12,0.0113087213295992
12,13,0.0035477069684284397
12,14,6.304412977025598e-74
12,15,7.973866838674388e-99
13,0,0.0060366050471079
13,1,0.027326274637075
13,2,0.0059930840448965605
13,3,5.36762753315212e-41
13,4,7.774718762739859e-54
13,5,3.23523333795754e-42
13,6,0.0057088291167867395
13,7,5.558933038241059e-49
13,8,0.00575011781352601
13,9,0.00577795628057199
13,10,1.2103183738407597e-49
13,11,0.0155355902727114
13,12,0.0149942336728472
13,13,0.0243233112891463
13,14,2.7791304104441997e-52
13,15,2.1790773563165895e-117
14,0,1.7639931494977398e-65
14,1,6.111233371861558e-64
14,2,2.3749645530539497e-81
14,3,2.3938656693824195e-102
14,4,7.388115754926668e-148
14,5,7.105650199222038e-94
14,6,1.8584881285104693e-87
14,7,1.53000930484739e-65
14,8,4.582917675599499e-87
14,9,2.1102815654274395e-72
14,10,2.4454421261392992e-105
14,11,1.4150233202724497e-99
14,12,3.872877348191639e-67
14,13,1.5878385165857398e-79
14,14,2.2316019691524498e-91
14,15,3.344276613214919e-147
15,0,3.76940876365622e-110
15,1,5.253035960038098e-118
15,2,3.889053560487029e-106
15,3,1.3495053914186497e-125
15,4,1.9572007031671494e-117
15,5,2.2960789881852394e-131
15,6,6.996858940389179e-93
15,7,3.6068325610098587e-140
15,8,4.8878549983276895e-101
15,9,5.869652106112319e-116
15,10,5.200867921944699e-108
15,11,1.4149983341017497e-101
15,12,5.924266326438589e-85
15,13,7.260025716913498e-130
15,14,2.5612954407826094e-136
15,15,4.267254863121188e-115
