source,target,weight
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,4.1986470635471784e-125
0,14,1.32668682861762e-100
0,15,3.06468113832981e-139
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,3.8456402589266894e-89
1,14,1.7758779203643198e-90
1,15,5.3779254754147695e-87
2,0,0.0
2,1,0.0
2,2,0.0419972540837777
2,3,3.2457980800444894e-73
2,4,3.512597649068689e-128
2,5,1.8636628716924395e-83
2,6,8.04460865177072e-70
2,7,0.0143227489716225
2,8,6.253058700146959e-58
2,9,1.7400221557024498e-72
2,10,0.0311899386523613
2,11,1.4969869053539996e-94
2,12,1.4461111821237398e-80
2,13,1.2167111828662397e-75
2,14,2.4797576913710502e-05
2,15,1.3751170023091398e-74
3,0,0.0
3,1,0.0
3,2,1.82360835044609e-45
3,3,1.19069860050394e-48
3,4,1.0085172797139198e-68
3,5,8.739746631376999e-72
3,6,2.34179830497129e-28
3,7,1.85524848654149e-43
3,8,6.7966143895961395e-37
3,9,4.2149709448490697e-38
3,10,5.042022715262018e-60
3,11,3.3022392100179102e-28
3,12,2.4293972163276295e-73
3,13,1.7505841317452298e-42
3,14,6.934766244538859e-51
3,15,1.3751028994663299e-83
4,0,0.0
4,1,0.0
4,2,0.0257666229031694
4,3,0.17932131365821105
4,4,0.40664129869479104
4,5,0.6304499833970191
4,6,0.31954887744364197
4,7,0.647803567521825
4,8,0.441885666611234
4,9,0.511269425934521
4,10,0.297584454190388
4,11,0.0961672287714411
4,12,0.00800395515989256
4,13,1.53396656470718e-05
4,14,3.3398165922740397e-34
4,15,3.4988565249489098e-06
5,0,0.0
5,1,0.0
5,2,0.0042494645553944705
5,3,0.02729342075456
5,4,0.33285743389144706
5,5,1.26383956080876
5,6,1.06059658187254
5,7,0.8293385953834429
5,8,0.9084089910412858
5,9,0.5728662471891371
5,10,0.305976074345215
5,11,0.165776103298925
5,12,0.0102627878796595
5,13,2.7872315648337997e-06
5,14,7.590063230004269e-06
5,15,1.26665975781638e-05
6,0,0.0
6,1,0.0
6,2,0.0235572855738842
6,3,0.11886995604325401
6,4,0.414602846403624
6,5,0.7986417972270531
6,6,1.06865346809705
6,7,0.8633632827190479
6,8,0.7604118007127391
6,9,0.32957568988558195
6,10,0.34885832799576194
6,11,0.0717685269326177
6,12,0.00518683823322093
6,13,3.93113271230015e-06
6,14,2.2513885040594e-27
6,15,1.2152421837031399e-18
7,0,0.0
7,1,0.0
7,2,8.062335950732921e-15
7,3,0.260946463994164
7,4,0.407873635625755
7,5,0.645437062454942
7,6,1.03569066026446
7,7,1.8049509641789498
7,8,1.82747739960814
7,9,1.04598932153717
7,10,0.516161625551515
7,11,0.165260711546142
7,12,0.00935002088998351
7,13,1.25336618712563e-05
7,14,1.58235244676353e-05
7,15,1.22632444666246e-05
8,0,0.0
8,1,0.0
8,2,0.003909134519263471
8,3,0.151492391673477
8,4,0.402600959829494
8,5,0.8144463994311629
8,6,1.1781139718733702
8,7,0.9215476304453809
8,8,1.1790827722519999
8,9,0.98185181997548
8,10,0.919536227684207
8,11,0.131904890524804
8,12,0.0132755740812923
8,13,1.50920443298828e-05
8,14,1.2393609995896901e-05
8,15,6.94994442152234e-06
9,0,0.0
9,1,0.0
9,2,0.0267307076871976
9,3,0.497790423081765
9,4,0.153618831562005
9,5,0.42302184829775197
9,6,0.95189149994541
9,7,0.8574995847693192
9,8,0.8320657779186941
9,9,0.6606441214558271
9,10,0.671148816619609
9,11,0.180166009350365
9,12,0.00935385793288389
9,13,2.23889850927441e-05
9,14,2.49947517689142e-05
9,15,9.31589387297808e-06
10,0,0.0
10,1,0.0
10,2,0.0608516509502158
10,3,0.437593817995551
10,4,0.0955467493899868
10,5,0.505018004716422
10,6,0.387434043623616
10,7,0.7979681841724721
10,8,0.906198072310489
10,9,0.683875109004568
10,10,0.403494300004741
10,11,0.156055493154881
10,12,0.00555382540784602
10,13,7.4581931442262295e-06
10,14,4.55885506573499e-06
10,15,1.06192493184444e-05
11,0,0.0
11,1,0.0
11,2,0.0971939874485348
11,3,0.0043356785380147
11,4,0.039953198432694
11,5,0.11102636279674198
11,6,0.23609249483203198
11,7,0.247942489225953
11,8,0.34868808377203003
11,9,0.26947345626721403
11,10,0.286376316913283
11,11,0.111879371618925
11,12,0.007370244876762609
11,13,4.61434649150224e-05
11,14,3.5169283097546096e-06
11,15,3.25731122811222e-06
12,0,0.0
12,1,0.0
12,2,0.0058984541668063795
12,3,0.0005167899485612331
12,4,0.00201993669871053
12,5,0.0235054875712806
12,6,0.0182005454628505
12,7,0.042643511300384004
12,8,0.0482803816318552
12,9,0.065134927752602
12,10,0.0295922711375158
12,11,0.0114462934451947
12,12,0.000510329512665115
12,13,4.14240206085197e-05
12,14,8.45221085967377e-06
12,15,4.1433544798192204e-05
13,0,4.1703787713310085e-161
13,1,2.3600654153051596e-98
13,2,2.5149982376307794e-64
13,3,2.5195437665666893e-82
13,4,8.15174976315502e-06
13,5,8.53453508757311e-06
13,6,6.695832067833411e-05
13,7,8.50096008954383e-06
13,8,3.7716728605499606e-05
13,9,6.76343348750435e-05
13,10,9.720465719026591e-05
13,11,2.2731085525594e-05
13,12,3.738712826312729e-05
13,13,6.69130609060775e-05
13,14,6.71780661241665e-05
13,15,8.17844976408721e-06
14,0,4.780881123546378e-125
14,1,1.2543725878625595e-106
14,2,1.90753459774771e-113
14,3,9.12145427580912e-06
14,4,3.26907566856042e-36
14,5,4.12974593985485e-05
14,6,2.49307372398177e-05
14,7,2.49347301398804e-05
14,8,9.05271665204799e-06
14,9,5.70503275902423e-05
14,10,9.25751258901456e-06
14,11,5.76073368514662e-05
14,12,9.25471347497222e-06
14,13,9.02859737546837e-06
14,14,1.65891117254938e-47
14,15,4.0964973055531e-05
15,0,6.232612011216328e-127
15,1,1.1610239176187096e-131
15,2,9.002863783354938e-75
15,3,9.895850261819207e-94
15,4,0.000105310286875167
15,5,1.2181352352204797e-74
15,6,6.070655890970078e-71
15,7,5.363091467118778e-78
15,8,1.7911118563094796e-52
15,9,0.000107029744786277
15,10,4.71427326068687e-39
15,11,3.679624799118629e-93
15,12,7.06391874854616e-68
15,13,5.511066044622009e-89
15,14,3.774774412457299e-92
15,15,9.942190218835747e-109
