flow,origin,destination
0.0,8,17
0.0,8,18
0.0,8,19
0.0,8,21
0.0,8,22
0.0,8,23
0.0,8,28
0.0,8,33
0.0,8,34
0.0,8,36
0.0,8,37
0.0,8,47
0.0,8,48
0.0,8,58
0.0,8,65
0.0094,8,90
0.0,8,96
0.0,8,97
0.0,8,108
0.0,9,1
0.0,9,2
0.0043,9,3
0.0,9,4
0.0,9,5
0.0,9,6
0.0,9,7
0.0043,9,8
0.9913,9,9
0.0,9,10
0.0,9,11
0.0,9,12
0.0,9,13
0.0,9,14
0.0,9,15
0.0,9,16
0.0,9,17
0.0,9,18
0.0,9,19
0.0,9,20
0.0,9,21
0.0,9,22
0.0,9,23
0.0,9,26
0.0,9,28
0.0,9,33
0.0,9,34
0.0,9,35
0.0,9,37
0.0,9,38
0.0,9,40
0.0,9,41
0.0,9,45
0.0,9,46
0.0,9,48
0.0,9,52
0.0,9,58
0.0,9,60
0.0,9,65
0.0,9,96
0.0,9,97
0.0,9,98
0.0,9,103
0.0,9,108
0.0,10,1
0.0,10,2
0.0,10,3
0.0,10,4
0.0,10,5
0.0018,10,6
0.0,10,7
0.0,10,8
0.0,10,9
0.9964,10,10
0.0018,10,11
0.0,10,12
0.0,10,13
0.0,10,14
0.0,10,15
0.0,10,16
0.0,10,17
0.0,10,18
0.0,10,19
0.0,10,20
0.0,10,21
0.0,10,22
0.0,10,23
0.0,10,24
0.0,10,26
0.0,10,27
0.0,10,28
0.0,10,33
0.0,10,34
0.0,10,35
0.0,10,36
0.0,10,37
0.0,10,38
0.0,10,39
0.0,10,40
0.0,10,42
0.0,10,45
0.0,10,46
0.0,10,47
0.0,10,48
0.0,10,49
0.0,10,50
0.0,10,51
0.0,10,52
0.0,10,53
0.0,10,54
0.0,10,55
0.0,10,56
0.0,10,58
0.0,10,59
0.0,10,60
0.0,10,61
0.0,10,63
0.0,10,65
0.0,10,69
0.0,10,72
0.0,10,82
0.0,10,87
0.0,10,89
0.0,10,90
0.0,10,93
0.0,10,96
0.0,10,97
0.0,10,98
0.0,10,100
0.0,10,103
0.0,10,108
0.0,11,1
0.0,11,4
0.0,11,6
0.0,11,7
0.0,11,8
0.0,11,9
0.0,11,10
0.9274,11,11
0.0,11,12
0.0,11,13
0.0,11,15
0.0,11,16
0.0,11,17
0.0,11,18
0.0,11,19
0.0,11,20
0.0,11,23
0.0,11,24
0.0,11,30
0.0,11,33
0.0081,11,34
0.0,11,35
0.0,11,36
0.0,11,37
