evid_id,even_id,sent_id,doc_url,crawl_id,crawl_date,text,citation_url,anno_provided_url,fine_grained_location,type,country,date,value,restriction,source_type
5bf7ac49-8623-41a0-837a-8cc8bd03abb0,2133129f-f140-4800-9835-ea0e298348f8,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_311,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The European Parliament's Director General for Personnel, Kristian Knudsen, requested that staff who had travelled to areas affected by the COVID-19 outbreak, including parts of Italy, China, Singapore and South Korea, to self-quarantine and work from home for 14 days.",https://www.repubblica.it/cronaca/2020/02/26/news/conoravirus_bruxelles_bartolo-249655095/,,The European Parliament'S|Italy|China|Singapore|South Korea,introduction of travel quarantine policies,ITA,2020-02-24,CHN,1,O
9b3ea1fd-5c7f-418d-ba49-1d77dc7645f7,8329d02c-2199-4704-9137-b4d85104c458,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_208,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,D'Annunzio University suspended all activities until 29 February.,https://www.scuolainforma.it/2020/02/26/aggiornamento-coronavirus-al-26-2-per-ogni-regione-altre-scuole-chiuse-nuovo-decreto.html,,D'Annunzio University,school closure,ITA,2020-02-29,Universities closed,1,O
74462afd-6f08-43e9-9418-127ce9fa29e5,fb0bc5f6-cece-4c48-b1d6-5ebb62712fc9,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_236,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Shopping centres had to be closed on weekends, while other commercial activities could remain open if a distance of one metre between customers could be guaranteed.",https://www.romatoday.it/attualita/coronavirus-pub-cinema-teatri-locali-chiusi-nuovo-decreto.html,,,entertainment/cultural sector closure,ITA,2020-03-07,"Museums, theaters, cinema, libraries, festivities",1,O
67832abf-9b7c-48ce-b986-77ea255f78c8,dcf34e76-9be6-46ae-be6a-44abf222e9f0,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_152,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,All religious services were cancelled.,https://www.repubblica.it/cronaca/2020/02/23/news/coronavirus_scuole_chiuse_e_niente_carnevale_tutti_i_provvedimenti-249355737/,,Italy,entertainment/cultural sector closure,ITA,2020-02-22,Churches,1,O
5154b3c5-9eb0-47c8-9c19-6c6d7bfe7f0b,39be76eb-0b59-4010-bf2f-a995e6892365,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_151,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,All public events were cancelled and some commercial activities were halted or were allowed to resume only until 6Â pm.,https://www.corriere.it/cronache/20_febbraio_21/scuole-chiuse-il-coronavirus-lombardia-lodi-piacenza-codogno-a190ccee-54bd-11ea-9196-da7d305401b7.shtml,,Italy,entertainment/cultural sector closure,ITA,2020-02-22,"Museums, theaters, cinema, libraries, festivities",1,O
b78bb865-bf09-4f1c-9186-4b5823db862b,8afb0d1b-0073-4de7-9fce-bf502a3b4a8e,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_178,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Multiple regions in Italy such as Liguria, Trentino Alto Adige, Friuli Venezia Giulia, Abruzzo and Marche decided to close all schools and universities for two days to a week.",,,Italy|Liguria|Trentino Alto Adige|Friuli Venezia Giulia|Abruzzo|Marche,school closure,ITA,2020-02-24,Only schools (primary/secondary) closed,1,W
dd589b49-82a6-4997-9219-a21665e4785d,a16b0b61-b1f4-4f0f-bc01-69af474a66b3,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_755,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"She worked for a daycare centre in Riehen, and after her test was confirmed, the children at the daycare were put into a two-week quarantine.",https://www.reuters.com/article/us-china-health-swiss-idUSKCN20L167,,Riehen,confinement,ITA,2020-02-27,na,1,O
b69aa624-7aef-42b3-a895-150d7415bac1,cc25ea21-c084-4125-9711-c68dabf83546,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_117,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,A 51-year-old man from Piandimeleto who went to Romania with the man also tested positive and underwent self-quarantine at home.,https://www.digi24.ro/stiri/actualitate/un-italian-care-l-a-insotit-in-romania-pe-barbatul-de-71-de-ani-infectat-are-si-el-coronavirus-1266637,,Piandimeleto,introduction of travel quarantine policies,ITA,2020-02-22,ROU,1,O
6f37d88d-e2d6-49d2-9c54-ec80d13aaf01,d8b9dbe5-da60-45e5-b161-5259544c38e7,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_10,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 21 March, the Italian government closed all non-essential businesses and industries, and restricted movement of people.",https://www.theguardian.com/world/2020/mar/22/italian-pm-warns-of-worst-crisis-since-ww2-as-coronavirus-deaths-leap-by-almost-800,,Italian,work restrictions,ITA,2020-03-21,na,1,O
bbf5b905-54ab-478c-83f0-c54aa4a0f7fb,d8b9dbe5-da60-45e5-b161-5259544c38e7,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_425,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 21 March, the government issued the shutdown of all non-essential businesses, industries, and economic activities.",https://www.bloomberg.com/news/articles/2020-03-21/germany-plans-extra-spending-of-eu150-billion-scholz-says,,Italy,work restrictions,ITA,2020-03-21,na,1,O
