source,target,weight
1,1,0.969461971830986
1,2,0.004198591549295773
1,3,0.0007014084507042255
1,4,0.012030985915492962
1,5,0.0041056338028169
1,6,0.001226760563380282
1,7,0.0029225352112676045
1,8,6.19718309859155e-05
1,9,0.00040000000000000013
1,10,0.0003140845070422536
1,11,0.0
1,12,0.0001394366197183099
1,13,1.4084507042253522e-05
1,14,2.1126760563380278e-05
1,15,0.0008366197183098589
1,16,0.00019436619718309861
1,17,0.00011830985915492961
1,18,0.00013098591549295778
1,19,1.4084507042253522e-05
1,20,0.0002014084507042254
1,21,0.0
1,22,2.3943661971830986e-05
1,23,1.4084507042253522e-05
1,24,0.0
1,26,7.042253521126761e-06
1,27,7.042253521126761e-06
1,28,1.5492957746478872e-05
1,30,0.0
1,31,0.0
1,33,8.873239436619719e-05
1,34,6.47887323943662e-05
1,35,1.4084507042253522e-05
1,36,2.1126760563380278e-05
1,37,5.6338028169014086e-05
1,38,7.042253521126761e-06
1,39,7.042253521126761e-06
1,40,2.253521126760563e-05
1,41,0.0
1,42,7.042253521126761e-06
1,43,0.0
1,44,0.0
1,45,0.0
1,46,1.4084507042253522e-05
1,47,0.0
1,48,2.8169014084507043e-05
1,49,1.4084507042253522e-05
1,50,1.5492957746478872e-05
1,51,0.0
1,53,0.0
1,54,7.042253521126761e-06
1,55,0.0
1,56,0.0
1,58,0.00010422535211267608
1,60,0.000363380281690141
1,61,7.042253521126761e-06
1,62,0.0
1,63,7.042253521126761e-06
1,64,0.0
1,65,0.0
1,66,7.042253521126761e-06
1,67,0.0
1,68,0.0
1,69,7.042253521126761e-06
1,70,0.0
1,71,8.450704225352112e-06
1,72,1.4084507042253522e-05
1,73,3.5211267605633805e-05
1,74,7.042253521126761e-06
1,75,0.0
1,76,0.0
1,78,1.4084507042253522e-05
1,79,7.042253521126761e-06
1,80,0.0
1,81,0.0
1,82,7.042253521126761e-06
1,83,7.042253521126761e-06
1,84,7.042253521126761e-06
1,87,1.4084507042253522e-05
1,89,0.0
1,90,7.042253521126761e-06
1,96,0.0016690140845070432
1,97,1.4084507042253522e-05
1,98,2.9577464788732392e-05
1,99,1.5492957746478872e-05
1,103,5.211267605633803e-05
1,108,6.197183098591549e-05
1,109,0.0
2,1,0.040991549295774636
2,2,0.8288704225352115
2,3,0.044219718309859136
2,4,0.0003746478873239437
2,5,0.0006704225352112675
2,6,0.023240845070422532
2,7,0.0009760563380281689
2,8,0.0
2,9,0.0003380281690140845
2,10,6.19718309859155e-05
2,12,0.000980281690140845
2,13,0.00014225352112676057
2,14,0.00012535211267605633
2,15,0.00410281690140845
2,16,0.00029718309859154933
2,17,0.0003084507042253521
2,18,0.005336619718309859
2,19,0.0
2,20,0.0
2,23,0.0004197183098591549
2,24,0.0
2,26,5.9154929577464784e-05
2,28,0.0004492957746478873
2,30,0.00013521126760563382
2,33,0.00031971830985915486
2,34,0.0
2,36,6.19718309859155e-05
2,37,7.464788732394367e-05
2,38,0.0
2,45,0.00012535211267605633
2,48,0.0
2,49,0.0
2,65,0.0
2,70,0.0
2,71,0.0
2,72,5.9154929577464784e-05
2,93,0.00013521126760563382
2,96,0.04411408450704226
2,97,0.0
2,98,0.0
2,99,7.746478873239437e-05
2,103,0.002308450704225352
2,108,0.0006253521126760562
3,1,0.0029901408450704217
3,2,0.02664084507042254
3,3,0.8677619718309857
3,4,0.0014169014084507044
3,5,9.014084507042252e-05
3,6,0.003860563380281688
3,7,0.0001971830985915493
3,8,8.873239436619719e-05
3,9,0.0003845070422535211
3,10,0.00038028169014084513
3,12,0.024019718309859148
3,13,0.0012704225352112677
3,14,0.00035352112676056334
3,15,0.03223239436619719
3,16,0.001070422535211268
3,17,0.0005112676056338028
3,18,0.012743661971830987
3,19,0.0001295774647887324
3,20,4.929577464788733e-05
3,21,3.943661971830986e-05
3,22,9.154929577464787e-05
3,23,4.929577464788733e-05
3,24,3.943661971830986e-05
3,27,8.450704225352113e-05
3,28,0.0003535211267605634
3,30,0.0
3,33,0.00018732394366197181
3,34,4.3661971830985905e-05
3,35,0.00013521126760563382
3,36,4.647887323943662e-05
3,37,0.00022816901408450707
3,39,0.0
3,40,0.0
3,42,0.00015492957746478874
3,45,8.450704225352113e-05
3,46,0.0
3,48,3.943661971830986e-05
3,58,0.0
3,59,0.0
3,60,3.802816901408451e-05
3,61,0.0
3,69,5.070422535211268e-05
3,80,0.0
3,82,0.0
3,93,0.0
3,96,0.004052112676056339
3,97,0.00017464788732394362
3,98,9.295774647887325e-05
3,99,0.0001394366197183099
3,103,0.015657746478873243
3,108,0.0020323943661971827
4,1,0.025545070422535218
4,2,0.00018450704225352112
4,3,0.0004267605633802817
4,4,0.9531915492957744
4,5,0.008960563380281691
4,6,0.0020521126760563394
4,7,2.95774647887324e-05
4,8,0.0008422535211267603
4,9,0.005928169014084507
4,10,0.0008521126760563378
4,12,1.5492957746478876e-05
4,13,1.6901408450704224e-05
4,14,1.5492957746478876e-05
4,15,0.0003
4,16,0.000384507042253521
4,17,8.028169014084507e-05
4,18,0.00020140845070422536
4,19,0.0
4,20,0.0
4,22,3.098591549295775e-05
4,23,3.0985915492957744e-05
4,24,0.0
4,27,0.0
4,28,1.5492957746478876e-05
4,29,0.0
4,32,0.0
4,33,0.00012253521126760563
4,34,0.00012816901408450702
4,35,4.788732394366197e-05
4,36,1.6901408450704224e-05
4,37,4.788732394366197e-05
4,38,0.0
4,40,0.0
4,42,1.5492957746478876e-05
4,44,3.098591549295775e-05
4,45,0.0
4,47,0.0
4,48,2.95774647887324e-05
4,53,0.0
4,54,0.0
4,59,0.0
4,60,0.00026901408450704224
4,63,0.0
4,67,0.0
4,72,0.0
4,87,3.098591549295775e-05
4,96,4.647887323943662e-05
4,97,1.6901408450704224e-05
4,98,5.070422535211268e-05
4,99,0.0
4,103,0.0
4,108,2.9577464788732392e-05
4,111,0.0
5,1,0.039652112676056325
5,2,0.0006253521126760562
5,3,0.0002112676056338028
5,4,0.04001267605633802
5,5,0.8587873239436618
5,6,0.054505633802816915
5,7,0.0002112676056338028
5,8,6.901408450704225e-05
5,9,0.0013563380281690141
5,10,0.00035070422535211264
5,12,0.00013380281690140845
5,13,0.00021549295774647887
5,14,0.0
5,15,0.0010802816901408446
5,16,6.76056338028169e-05
5,17,0.00028169014084507044
5,18,0.0006253521126760562
5,19,0.0
5,21,0.0001323943661971831
5,22,0.0001422535211267606
5,23,0.00023098591549295766
5,24,0.0
5,26,7.323943661971831e-05
5,28,0.0
5,29,0.0
5,32,0.0
5,33,0.0003591549295774648
5,34,0.00014788732394366196
5,35,0.0
5,36,0.0
5,37,6.901408450704225e-05
5,38,8.028169014084508e-05
5,39,0.0
5,40,6.76056338028169e-05
5,48,0.0
5,67,8.169014084507041e-05
5,96,0.00027746478873239434
5,97,0.0
5,98,7.323943661971831e-05
5,99,0.0
5,108,7.605633802816902e-05
6,1,0.006359154929577467
6,2,0.01088591549295775
6,3,0.0031253521126760587
6,4,0.0039873239436619716
6,5,0.030345070422535213
6,6,0.8944929577464791
6,7,0.0002732394366197183
6,8,0.0004253521126760564
6,9,0.005349295774647889
6,10,0.01571971830985916
6,11,3.380281690140845e-05
6,12,0.000769014084507042
6,13,0.00036338028169014084
6,14,7.183098591549296e-05
6,15,0.004370422535211267
6,16,0.0007943661971830985
6,17,0.00044507042253521124
6,18,0.015071830985915491
6,19,0.00029014084507042253
6,20,7.887323943661972e-05
6,22,7.605633802816902e-05
6,23,0.00040563380281690136
6,24,0.00014366197183098592
6,26,3.5211267605633805e-05
6,27,0.0
6,28,0.00044647887323943664
6,32,0.0001971830985915493
6,33,0.0014802816901408448
6,34,0.00030422535211267613
6,35,0.00019295774647887324
6,36,7.042253521126761e-05
6,37,0.0004915492957746478
6,38,0.0
6,39,3.380281690140845e-05
6,40,0.0
6,43,7.746478873239437e-05
6,44,0.0
6,45,0.0
6,46,0.0
6,47,0.0
6,48,0.0
6,49,3.5211267605633805e-05
6,51,3.802816901408451e-05
6,52,0.0
6,53,3.23943661971831e-05
6,54,0.0
6,55,0.0
6,56,0.0
6,58,0.0
6,60,0.0004197183098591549
6,65,0.0
6,68,3.380281690140845e-05
6,75,0.0
6,80,0.0
6,93,4.0845070422535214e-05
6,96,0.0013563380281690141
6,97,3.943661971830986e-05
6,98,0.00020281690140845068
6,99,7.887323943661972e-05
6,103,0.00025352112676056335
6,108,0.000252112676056338
7,1,0.023773239436619725
7,2,0.0013760563380281693
7,3,0.0005309859154929577
7,4,0.00029436619718309863
7,5,0.00014084507042253522
7,6,0.0004211267605633802
7,7,0.9670042253521128
7,9,0.0
7,10,0.0005112676056338028
7,11,4.507042253521127e-05
7,12,0.00014225352112676057
7,13,0.0001380281690140845
7,14,4.507042253521127e-05
7,15,0.002150704225352113
7,16,9.43661971830986e-05
7,17,0.0
7,18,0.00036901408450704234
7,19,0.0
7,21,0.00011690140845070425
7,22,6.47887323943662e-05
7,23,5.774647887323944e-05
7,24,0.0
7,28,0.0
7,33,0.0
7,34,9.859154929577466e-05
7,35,0.0
7,36,9.014084507042252e-05
7,37,6.338028169014085e-05
7,40,0.0
7,45,4.788732394366197e-05
7,48,0.0
7,49,4.929577464788733e-05
7,52,0.0
7,54,0.0
7,58,6.056338028169014e-05
7,59,0.0
7,60,0.0
7,63,0.0
7,96,0.0016577464788732393
7,98,0.0
7,99,0.0
7,100,0.0
7,103,0.0004830985915492958
7,108,0.0001732394366197183
8,1,0.0011492957746478873
8,2,0.0
8,3,0.00012112676056338028
8,4,0.0076267605633802815
8,5,0.00022816901408450704
8,6,0.0009492957746478874
8,8,0.9488295774647888
8,9,0.027412676056338032
8,10,0.007122535211267604
8,11,0.0
8,12,0.0001267605633802817
8,13,0.002635211267605634
8,15,0.002191549295774648
8,16,0.0
8,17,0.0
8,18,0.0004985915492957746
8,19,0.0
8,21,0.00025070422535211265
8,22,9.43661971830986e-05
8,23,0.0001028169014084507
8,28,0.0
8,33,0.00022112676056338027
8,34,9.859154929577466e-05
8,36,9.859154929577466e-05
8,37,0.0
8,47,0.0
8,48,0.0
8,58,0.0
8,65,0.0
8,90,0.0001323943661971831
8,96,0.0001028169014084507
8,97,0.0
8,108,0.0
9,1,0.0022366197183098595
9,2,0.00028732394366197183
9,3,0.0001183098591549296
9,4,0.019808450704225343
9,5,0.0005352112676056337
9,6,0.006822535211267608
9,7,0.0
9,8,0.012352112676056336
9,9,0.9374323943661972
9,10,0.015530985915492956
9,11,0.000195774647887324
9,12,0.00013661971830985914
9,13,0.00017183098591549298
9,14,6.19718309859155e-05
9,15,0.001435211267605634
9,16,0.00018450704225352117
9,17,0.00017464788732394367
9,18,0.00044788732394366194
9,19,3.943661971830986e-05
9,20,0.0
9,21,0.0
9,22,0.00026338028169014085
9,23,4.647887323943662e-05
9,26,0.0
9,28,0.0
9,33,0.00023098591549295777
9,34,0.0001056338028169014
9,35,0.0
9,37,0.0
9,38,5.211267605633803e-05
9,40,0.0
9,41,4.647887323943662e-05
9,45,5.774647887323944e-05
9,46,0.0
9,48,0.0
9,52,0.0
9,58,0.0
9,60,0.0007211267605633803
9,65,0.0
9,96,0.00014366197183098592
9,97,9.15492957746479e-05
9,98,0.0
9,103,0.00018450704225352117
9,108,4.788732394366197e-05
10,1,0.0008352112676056338
10,2,0.00018028169014084507
10,3,0.00017746478873239437
10,4,0.0013605633802816893
10,5,0.0003408450704225353
10,6,0.009714084507042252
10,7,0.0001492957746478873
10,8,0.0011056338028169015
10,9,0.0065014084507042285
10,10,0.9710352112676056
10,11,0.003111267605633802
10,12,9.014084507042254e-05
10,13,0.0
10,14,0.0
10,15,0.001180281690140845
10,16,0.00017183098591549298
10,17,0.0002619718309859155
10,18,0.0006661971830985916
10,19,8.450704225352113e-05
