,2020-01-18,Origin,Destination
311,0.0,6,44
312,0.0,6,45
313,0.0,6,46
314,0.0,6,47
315,0.0,6,48
316,0.0,6,49
317,0.0,6,51
318,0.0,6,52
319,0.0,6,53
320,0.0,6,54
321,0.0,6,55
322,0.0,6,56
323,0.0,6,58
324,0.0,6,60
325,0.0,6,65
326,0.0,6,68
327,0.0,6,75
328,0.0,6,80
329,0.0,6,93
330,0.0024,6,96
331,0.0,6,97
332,0.0,6,98
333,0.0,6,99
334,0.0,6,103
335,0.0,6,108
336,0.0775,7,1
337,0.0,7,2
338,0.0,7,3
339,0.0037,7,4
340,0.0,7,5
341,0.0,7,6
342,0.9004,7,7
343,0.0037,7,9
344,0.0,7,10
345,0.0,7,11
346,0.0,7,12
347,0.0,7,13
348,0.0,7,14
349,0.0074,7,15
350,0.0,7,16
351,0.0,7,17
352,0.0,7,18
353,0.0,7,19
354,0.0,7,21
355,0.0,7,22
356,0.0,7,23
357,0.0,7,24
358,0.0,7,28
359,0.0,7,33
360,0.0,7,34
361,0.0,7,35
362,0.0,7,36
363,0.0,7,37
364,0.0,7,40
365,0.0,7,45
366,0.0,7,48
367,0.0,7,49
368,0.0,7,52
369,0.0,7,54
370,0.0,7,58
371,0.0,7,59
372,0.0,7,60
373,0.0,7,63
374,0.0037,7,96
375,0.0,7,98
376,0.0,7,99
377,0.0,7,100
378,0.0,7,103
379,0.0037,7,108
380,0.0,8,1
381,0.0,8,2
382,0.0,8,3
383,0.042,8,4
384,0.0,8,5
385,0.0,8,6
386,0.8811,8,8
387,0.049,8,9
388,0.014,8,10
389,0.0,8,11
390,0.0,8,12
391,0.0,8,13
392,0.014,8,15
393,0.0,8,16
394,0.0,8,17
395,0.0,8,18
396,0.0,8,19
397,0.0,8,21
398,0.0,8,22
399,0.0,8,23
400,0.0,8,28
401,0.0,8,33
402,0.0,8,34
403,0.0,8,36
404,0.0,8,37
405,0.0,8,47
406,0.0,8,48
407,0.0,8,58
408,0.0,8,65
