"source","target","weight"
13,12,12673
13,13,243047
13,14,1001
13,15,23082
13,16,363
13,17,95
13,18,85
13,19,45
13,20,3
13,21,3
13,22,9
13,23,21
13,24,122
13,25,1
13,26,8
13,27,9
13,28,27
13,29,22
13,30,1
13,31,4
13,33,26
13,34,23
13,35,12
13,36,11
13,37,14
13,38,2
13,39,2
13,40,5
13,45,12
13,46,8
13,48,4
13,50,2
13,96,24
13,97,6364
13,98,312
13,99,3
13,103,36
13,108,13311
14,0,2626
14,1,4
14,3,1
14,4,2
14,6,3
14,8,1
14,9,19
14,10,7
14,11,3
14,12,22
14,13,676
14,14,84297
14,15,580
14,16,43
14,17,90
14,18,15
14,19,4
14,20,5
14,21,5
14,22,4
14,23,1
14,24,4
14,28,3
14,29,1
14,33,7
14,35,1
14,36,2
14,37,6
14,40,1
14,46,1
14,96,2
14,97,1942
14,98,5
14,108,93
15,0,707
15,1,976
15,2,318
15,3,3969
15,4,59
15,5,67
15,6,411
15,7,16
15,8,24
15,9,36
15,10,257
15,11,23
15,12,31146
15,13,4661
15,14,64
15,15,1535507
15,16,9918
15,17,1222
15,18,9879
15,19,1817
15,20,87
15,21,27
15,22,45
15,23,213
15,24,1232
15,25,8
15,26,38
15,27,43
15,28,51
15,29,8
15,30,11
15,32,1
15,33,695
15,34,332
15,35,104
15,36,178
15,37,123
15,38,13
15,39,9
15,40,9
15,41,15
15,45,30
15,46,7
15,47,8
15,48,89
15,49,23
15,50,45
15,51,6
15,52,167
15,58,51
15,83,6
15,93,8
15,96,538
15,97,1896
15,98,6811
15,99,29
15,100,6
15,103,198
15,108,42371
16,0,68
16,1,101
16,2,13
16,3,68
16,4,44
16,5,22
16,6,71
16,8,2
16,9,9
16,10,35
16,11,5
16,12,455
16,13,485
16,14,49
16,15,30724
16,16,536603
16,17,13998
16,18,290
16,19,2474
16,20,87
16,21,75
16,22,38
16,23,221
16,24,75
16,25,24
16,26,11
16,27,17
16,28,40
16,29,9
16,30,8
16,33,86
16,34,87
16,35,31
16,36,31
16,37,68
16,38,15
16,39,4
16,40,7
16,41,4
16,45,12
16,46,11
16,47,1
16,48,16
16,49,2
16,50,6
16,52,6
16,58,4
16,93,3
16,96,70
16,97,4652
16,98,386
16,99,2
16,100,1
16,103,13
16,108,6269
17,0,49
17,1,49
17,2,11
17,3,32
17,4,7
17,5,13
17,6,12
17,7,1
17,8,1
17,9,4
17,10,24
17,11,5
17,12,216
17,13,167
17,14,209
17,15,7750
17,16,12517
17,17,625865
17,18,184
17,19,4375
17,20,5769
17,21,44
17,22,898
17,23,2870
17,24,123
17,25,2
17,26,23
17,27,71
17,28,190
17,29,9
17,30,8
17,31,1
17,32,4
17,33,287
17,34,412
17,35,53
17,36,42
17,37,54
17,38,22
17,39,3
17,40,10
17,41,3
17,42,2
17,46,2
17,47,2
17,48,15
17,49,1
17,50,6
17,51,2
17,52,1
17,54,1
17,58,6
17,93,3
17,96,9
17,97,97
17,98,208
17,99,3
17,100,1
17,103,5
17,108,502
18,0,31
18,1,190
18,2,923
18,3,2058
18,4,29
18,5,52
18,6,3894
18,7,4
18,8,4
18,9,42
18,10,210
18,11,18
18,12,354
18,13,149
18,14,11
18,15,44424
18,16,213
18,17,116
18,18,214909
18,19,160
18,20,65
18,21,6
18,22,26
18,23,34
18,24,101
18,25,5
18,26,25
18,27,1
18,28,82
18,29,3
18,30,3
18,33,1941
18,34,142
18,35,33
18,36,22
18,37,17
18,38,9
18,39,2
18,40,5
18,41,173
18,45,7
18,46,2
18,47,15
18,48,8
18,49,6
18,50,65
18,51,2
18,52,24
18,57,1
18,93,6
18,96,49
18,97,38
18,98,2618
18,99,96
18,103,14
18,108,560
19,0,10
19,1,21
19,2,5
19,3,14
19,4,31
19,5,30
19,6,19
19,7,1
19,8,5
19,9,2
19,10,7
19,11,6
19,12,62
19,13,47
19,14,2
19,15,13456
19,16,4361
19,17,4268
19,18,323
19,19,151701
19,20,3010
19,21,5
19,22,13
19,23,112
19,24,44
19,25,1
19,26,29
19,27,65
19,28,109
19,29,2
19,30,8
19,33,1668
19,34,2228
19,35,202
19,36,66
19,37,46
19,38,8
19,39,2
19,40,5
19,41,2
19,42,1
19,45,1
19,46,3
19,47,3
19,48,1
19,49,16
19,50,2
19,51,2
19,52,4
19,53,43
19,54,4
19,58,2
19,61,3
19,93,3
19,96,4
19,97,45
19,98,3935
19,99,3
19,100,2
19,103,1
19,108,414
20,0,4
20,1,31
20,2,1
20,3,6
20,4,40
20,5,21
20,6,9
20,8,12
20,9,3
20,10,1
20,11,5
20,12,16
20,13,9
20,14,1
20,15,398
20,16,84
20,17,6430
20,18,24
20,19,2770
20,20,184268
20,21,20
20,22,125
20,23,6583
20,24,64
20,25,1
20,26,25
20,27,46
20,28,103
20,29,577
20,30,7
20,31,1
20,32,2
20,33,71
20,34,1347
20,35,4443
20,36,3368
20,37,398
20,38,531
20,39,20
20,40,8
20,41,1
20,42,9
20,43,2
20,45,11
20,46,2
20,47,1
20,48,17
20,49,1
20,51,3
20,52,1
20,53,27
20,54,3
20,93,9
20,96,2
20,97,4
20,98,77
20,99,8
20,100,2
20,108,39
20,109,2
21,0,1054
21,3,1
21,12,1
21,15,56
21,16,3
21,17,7
21,18,3
21,20,7
21,21,284175
21,22,1797
21,23,100
21,24,11
21,25,42
21,26,7
21,27,7
21,28,39
21,29,2
21,30,6
21,31,1
21,32,2
21,33,1
21,34,4
21,36,5
21,37,37
21,38,3
21,39,1
21,40,8
21,47,1
21,48,8
21,93,4
21,97,1
21,108,1
22,0,14
22,1,72
22,2,3
22,3,3
22,4,6
22,5,7
22,6,4
22,7,2
22,9,2
22,10,2
22,11,3
22,12,8
22,13,9
22,14,5
22,15,66
22,16,18
22,17,719
22,19,23
22,20,41
22,21,2805
22,22,288590
22,23,1192
22,24,222
22,25,506
22,26,102
22,27,47
22,28,81
22,29,12
22,30,7
22,31,2
22,32,3
22,33,4
22,34,8
22,35,7
22,36,23
22,37,24
22,38,13
22,39,1
22,40,5
22,41,1
22,45,3
22,46,3
22,48,5
22,50,1
22,93,7
22,96,3
22,97,5
22,98,2
22,99,3
22,103,1
22,108,7
23,0,37
23,1,134
23,2,1
23,3,10
23,4,7
23,5,17
23,6,8
23,7,3
23,8,1
23,9,4
23,10,6
23,11,5
23,12,200
23,13,175
23,14,11
23,15,641
23,16,131
23,17,1745
23,18,15
23,19,69
23,20,3753
23,21,179
23,22,1700
23,23,471242
23,24,7305
23,25,10
23,26,180
23,27,551
23,28,2540
23,29,751
23,30,22
23,31,21
23,33,28
23,34,158
23,35,78
23,36,173
23,37,231
23,38,159
23,39,11
23,40,6
23,41,4
23,42,1
23,43,1
23,46,1
23,47,22
23,48,27
23,50,4
23,51,15
23,53,1
23,54,2
23,58,5
23,93,23
23,96,25
23,97,6
23,98,8
23,99,9
23,103,44
23,108,46
24,0,31
24,1,33
24,2,8
24,3,3
24,4,3
24,6,1
24,7,1
24,9,1
24,10,1
24,11,1
24,12,8
24,13,4
24,14,4
24,15,93
24,16,25
24,17,112
24,18,44
24,19,9
24,20,57
24,21,25
24,22,485
24,23,5215
24,24,447431
24,25,284
24,26,3654
24,27,1869
24,28,13979
24,29,142
24,30,35
24,31,1
24,32,8
24,33,16
24,34,12
24,35,30
24,36,29
24,37,68
24,38,74
24,39,7
24,40,6
24,41,7
24,42,1
24,45,1
24,46,6
24,47,5
24,48,31
24,50,27
24,51,3
24,52,32
24,53,1
24,93,26
24,96,95
24,97,3
24,98,2
24,100,5
24,103,6
24,108,14
25,0,4
25,12,1
25,15,9
25,16,1
25,17,9
25,20,3
25,21,276
25,22,524
25,23,11
25,24,157
25,25,101031
25,26,1949
25,27,249
25,28,198
25,29,2
25,30,73
25,31,2
